GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
34015025002,4411,2502,1789,120
34015050009,3700,1764,1840,96
34035070015,3386,1092,2227,67
34035030003,3344,1552,1719,73
34035010008,3716,1880,1786,50
34035105004,3899,2054,1758,87
34035030005,3951,1258,2618,75
34035050001,2596,1375,1142,79
34035070011,2218,651,1523,44
34035070013,2135,541,1536,58
34021055N11,1712,64,1630,18
34021055E09,2893,562,2248,83
34021055N05,2012,652,1309,51
34021035006,3692,1196,2384,112
34035030008,3058,1338,1666,54
34035065017,3779,1068,2646,65
34035065012,3476,1335,2040,101
34035090008,2641,502,2054,85
34035090005,1510,505,964,41
34035090004,1328,413,876,39
34035040439,3529,325,3142,62
34035030004,3943,1971,1888,84
34035040551,3430,1130,2224,76
34021055W15,3189,111,3028,50
34021055N12,2104,183,1885,36
34023077508,3812,2008,1738,66
34023077207,2757,1275,1446,36
34023110011,2940,1481,1388,71
34023015001,2330,878,1361,91
34023110014,3897,2083,1750,64
34023005005,2219,730,1454,35
34023050010,4146,1345,2700,101
34023125410,3354,1055,2232,67
34023125412,1762,568,1166,28
34023077604,2578,1496,1033,49
34023020014,4713,1825,2780,108
34023050006,2595,846,1706,43
34023025057,2110,875,1185,50
34023075002,3532,1383,2081,68
34023075011,4892,2267,2546,79
34023105025,3427,754,2605,68
34023105016,5276,1406,3804,66
34023120005,3334,1904,1325,105
34023115009,1681,687,958,36
34023095009,1835,1044,763,28
34023115007,1860,960,874,26
34023110007,4262,1704,2497,61
34023125508,3239,1678,1483,78
34023125512,3425,1752,1560,113
34023077608,4208,1990,2143,75
34027135020,4128,2172,1853,103
34027195001,2594,1070,1444,80
34027160017,5866,2897,2883,86
34025155018,4828,2399,2285,144
34025140022,3663,1699,1913,51
34011015001,7011,4032,2839,140
34011005201,873,80,792,1
34011020002,1339,968,345,26
34011050303,1245,351,863,31
34011070501,1809,473,1262,74
34011070403,1905,374,1472,59
34011070201,1717,343,1341,33
34011070504,1825,314,1448,63
34011070405,3107,921,2088,98
34011065001,4399,2709,1601,89
34011070506,1833,781,996,56
34011050302,2648,1464,1144,40
34025015007,2535,679,1788,68
34025005001,1399,822,551,26
34025250002,3569,2283,1152,134
34025090005,6632,4016,2476,140
34025090004,4945,2734,2134,77
34025247007,3757,1907,1749,101
34025247009,5469,2300,3046,123
34001010301,3358,149,3166,43
34027025007,4063,1770,2223,70
34001110004,4598,2607,1899,92
34001110002,4223,1891,2225,107
34001110001,5067,2148,2798,121
34001015101,7730,4879,2708,143
34001055008,6137,3075,2893,169
34001ZZZZZZ,0,0,0,0
34001015201,5838,3509,2212,117
34025003009,3829,1816,1936,77
34025155011,3160,1885,1183,92
34025155013,5808,3552,2102,154
34025260009,7022,4640,2236,146
34025260011,5761,3391,2267,103
34027175202,2391,1096,1254,41
34027110006,2309,1161,1118,30
34027082003,4128,2323,1691,114
34027015005,3580,2178,1335,67
34027045103,2607,703,1861,43
34027045102,2155,585,1514,56
34027045203,2086,476,1560,50
34027050004,5053,3549,1448,56
34027050002,3827,2653,1122,52
34027145026,2399,793,1536,70
34027145025,4584,2049,2474,61
34001060006,4879,2686,2052,141
34001040004,5815,3616,2040,159
34001075001,2982,1864,1076,42
34001042201,1728,689,999,40
34001060008,5117,2699,2278,140
34027135021,4831,1985,2747,99
34027070001,6736,3673,2945,118
34027110021,3098,1464,1587,47
34027110011,3294,1509,1739,46
34027145014,2424,1074,1277,73
34027145017,2558,1296,1233,29
34027145013,2747,1187,1501,59
34027045202,2135,663,1416,56
34027045101,1487,464,992,31
34027120301,2774,812,1892,70
34027070003,4261,2462,1710,89
34027170001,3627,1939,1592,96
34027145020,3848,1857,1923,68
34027115006,2795,1256,1488,51
34027135010,4186,1983,2060,143
34027135013,2931,1629,1241,61
34027013004,5249,2755,2397,97
34027135007,3201,1286,1832,83
34027005101,2717,1228,1400,89
34027175201,4055,1741,2217,97
34027190009,3926,2136,1710,80
34027160004,3483,1477,1972,34
34027110014,3586,1139,2380,67
34027082001,5111,2711,2270,130
34027155003,4228,2523,1625,80
34027085006,2712,1322,1328,62
34033020002,2326,1742,501,83
34033050006,5602,3461,2038,103
34033042001,3632,2126,1392,114
34033035002,2426,1546,787,93
34033001501,3410,2237,1068,105
34033010001,3386,2146,1103,137
34033055002,3502,2223,1190,89
34033005501,3031,1779,1158,94
34027070008,3648,2436,1110,102
34027015002,3452,1946,1428,78
34027120302,2391,833,1513,45
34027175604,2257,1302,924,31
34027105016,2656,1542,1074,40
34027105014,4926,2463,2395,68
34027015001,4261,2221,1946,94
34027105017,3656,2080,1514,62
34027105003,3888,2702,1136,50
34027175101,1603,599,962,42
34027065003,3548,1980,1511,57
34027180204,2166,1099,1016,51
34027180203,3258,1838,1350,70
34027160006,4176,1697,2392,87
34027185001,1897,409,1443,45
34027160005,3347,1638,1637,72
34027120203,2924,643,2202,79
34027120101,2294,898,1356,40
34027120201,2471,356,2054,61
34027145005,3946,1390,2456,100
34027145006,3493,1772,1643,78
34027145008,3772,1780,1881,111
34027145007,4008,1984,1951,73
34027145037,2160,1255,859,46
34035100010,3625,2139,1406,80
34035010020,3350,1814,1491,45
34035040213,3107,1413,1618,76
34035040214,2718,879,1794,45
34035040212,3515,1585,1860,70
34027160012,4698,2343,2259,96
34027190003,5326,3007,2208,111
34027095003,3316,1801,1468,47
34027175301,3646,1910,1636,100
34027175602,3881,2479,1332,70
34027025009,2842,1329,1456,57
34001040010,5417,1914,3396,107
34001060011,5071,1376,3570,125
34001070101,6431,3319,2982,130
34001105203,2851,1332,1453,66
34023105007,2893,859,1991,43
34027105018,3211,1930,1238,43
34027070005,4074,2582,1401,91
34023070101,1645,165,1438,42
34023070106,1863,292,1510,61
34023070201,2566,189,2263,114
34023070104,2098,524,1510,64
34023085410,1785,503,1241,41
34023085404,1968,319,1552,97
34023085305,2470,647,1753,70
34023085302,2994,965,1939,90
34023085301,4285,1771,2403,111
34023025028,1111,196,900,15
34023125105,2933,1292,1560,81
34023055008,3561,2015,1465,81
34023077605,3232,1740,1389,103
34023125104,3321,1563,1666,92
34023125201,1507,340,1138,29
34023070105,2638,967,1592,79
34023025055,1604,666,921,17
34023025017,2398,997,1332,69
34023035002,2651,411,2103,137
34023125503,2306,1192,1059,55
34023080501,1559,215,1320,24
34023080503,3699,387,3256,56
34023125204,2670,1400,1192,78
34023125513,2662,1347,1263,52
34023125209,2669,1277,1335,57
34023125208,3447,1318,2029,100
34023090006,3024,838,2154,32
34023020012,2842,1378,1392,72
34023110009,3614,1979,1572,63
34023025046,2071,918,1102,51
34023025006,2423,598,1775,50
34023125107,4000,1617,2295,88
34023125401,3950,1055,2864,31
34023125305,2601,1048,1498,55
34023125302,3626,1651,1906,69
34023065106,1634,704,901,29
34023077205,5057,2848,2129,80
34001060002,5489,3381,1961,147
34001060009,6142,2795,3207,140
34001015301,6418,3724,2598,96
34001045001,5631,3870,1615,146
34039025004,3364,1057,2259,48
34039070202,2064,276,1760,28
34039065201,2392,562,1793,37
34039065603,3976,1427,2431,118
34039095043,3184,946,2192,46
34039095040,2820,554,2229,37
34039095027,3161,236,2901,24
34039002067,2689,252,2401,36
34039020606,1900,278,1600,22
34039080009,3151,1254,1835,62
34039050005,2906,1584,1262,60
34039090103,2492,738,1695,59
34039090101,2261,1033,1185,43
34039060210,1707,266,1416,25
34039095026,2727,771,1890,66
34039095042,2103,296,1764,43
34039015023,2532,924,1565,43
34039015007,2589,878,1638,73
34001040019,6619,3265,3243,111
34001040017,7175,3762,3257,156
34001040005,7485,4216,3078,191
34001060012,3894,2124,1670,100
34001060001,5054,2378,2522,154
34033000702,4133,2285,1700,148
34023125110,3436,1400,1945,91
34021055N03,4116,158,3912,46
34021015025,4211,1699,2394,118
34021050008,2712,228,2436,48
34035010018,3746,1683,1960,103
34033004203,2555,1556,890,109
34011050506,3377,1851,1444,82
34011070402,2567,673,1844,50
34011070105,2592,728,1776,88
34011005401,1858,776,1044,38
34011005402,2778,494,2191,93
34027145003,2560,1323,1178,59
34027145019,2134,659,1436,39
34027145031,3949,1987,1833,129
34027180201,3388,2212,1131,45
34027145010,3158,1464,1636,58
34027040103,5037,2477,2418,142
34027050006,4120,2861,1216,43
34027010004,2486,1424,1037,25
34023035010,2664,961,1595,108
34001055004,4232,2344,1753,135
34001010502,3568,1420,2068,80
34001010401,2494,688,1766,40
34001060005,3912,1793,2002,117
34001040020,4968,1836,3009,123
34001060003,3660,1741,1831,88
34001010403,2984,384,2550,50
34001010602,3404,1303,2060,41
34001095202,3558,505,2984,69
34001025001,5521,3361,2035,125
34001110005,4823,2500,2227,96
34001025003,4287,1521,2660,106
34001010402,1788,76,1702,10
34001010104,2164,257,1858,49
34001020001,4618,2481,2015,122
34001042102,1357,668,648,41
34001100101,1935,1070,819,46
34001055005,5375,2006,3233,136
34029ZZZZZZ,0,0,0,0
34001055001,6202,3389,2672,141
34001010603,2750,948,1756,46
34001105104,4160,2107,1976,77
34001105103,1884,1066,773,45
34023065116,3056,1453,1593,10
34025140019,3691,1946,1700,45
34025140012,3610,1879,1681,50
34025247005,5844,3292,2434,118
34025065006,4066,1569,2426,71
34025030001,3229,1780,1380,69
34025245003,3344,1803,1473,68
34025260012,5545,3728,1669,148
34025260013,4505,2725,1657,123
34025260019,3487,1924,1507,56
34025155009,6116,3686,2249,181
34015100006,2129,1034,1044,51
34021060001,4422,1828,2513,81
34021010005,3037,223,2769,45
34021055W07,2417,245,2131,41
34021015047,4991,2618,2264,109
34035010012,3830,2028,1736,66
34025003003,3335,1725,1520,90
34025003004,6877,2953,3761,163
34025115001,3954,2003,1870,81
34025082004,2633,1714,856,63
34025260004,3744,2227,1446,71
34025115007,2771,1523,1198,50
34025172001,3036,1412,1520,104
34025172002,4509,2423,1964,122
34025080001,2278,1314,927,37
34033060E02,2118,299,1762,57
34035050026,3666,1725,1882,59
