GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
01133000007,7046,6264,758,24
01133000002,16971,14842,1985,144
01133000004,3118,2723,370,25
01133000003,4261,3827,400,34
01063000202,1752,291,1461,0
01063000201,3395,812,2572,11
01063000101,783,144,639,0
01057001101,2712,2158,543,11
01057000601,1821,1552,266,3
01057000101,15446,10366,4964,116
01057000401,2135,1828,298,9
01057001701,898,406,489,3
01057001001,1962,1757,190,15
01069000101,8556,6394,2104,58
01063000104,1479,255,1224,0
01063000302,1900,107,1788,5
01063000301,3330,223,3101,6
01063000401,4155,874,3267,14
01063000501,2296,340,1952,4
01069000331,12528,9802,2612,114
01069000311,9408,7852,1467,89
01069000410,18959,15011,3751,197
01069000501,13168,10586,2442,140
01069000352,19592,15723,3614,255
01069000181,18676,12853,5646,177
01069000371,13048,5148,7799,101
01069000211,7108,6112,951,45
01069000251,4098,1701,2353,44
01069000221,10832,1686,9082,64
01069000323,12998,8141,4721,136
01069000271,1893,1114,774,5
01069000121,4549,3659,856,34
01069000233,6923,4277,2596,50
01063000105,2588,803,1781,4
01077000115,12338,8320,3884,134
01077000012,11396,8192,3097,107
01077000004,8091,6421,1600,70
01077000005,17027,13419,3480,128
01077000003,7458,6132,1258,68
01077000007,14083,11081,2881,121
01077000103,4712,1585,3058,69
01077000111,9324,4774,4377,173
01103003011,6454,390,6048,16
01103000101,1364,490,868,6
01103001501,26142,21493,4371,278
01103002801,2660,2313,329,18
01103002101,5184,4382,753,49
01103001901,3286,2850,403,33
01103001301,8010,6763,1190,57
01103000403,8347,6320,1915,112
01103000501,19756,16659,2872,225
01103000303,9928,3180,6673,75
01103000307,2933,1816,1086,31
01103000306,4586,2493,2046,47
01069000131,6921,5525,1357,39
01017000014,25608,16251,9173,184
01017000007,13118,4928,8117,73
01103002201,5887,5095,745,47
01017000006,2017,1496,506,15
010170001-A,1433,828,595,10
01017000013,10835,7292,3458,85
01017000012,2001,1350,643,8
01041000003,2607,867,1732,8
01041000013,3250,2558,677,15
01041000014,6587,4372,2190,25
01041000016,1542,535,1000,7
01041000012,656,430,220,6
010330006-1,1576,1207,362,7
010330004-1,6207,4029,2127,51
010330015-1,618,477,133,8
010330016-1,1951,1182,739,30
010330016-2,4786,2281,2454,51
010330002-4,5602,4232,1320,50
010330017-3,6770,4507,2203,60
010330016-6,1454,802,635,17
010330014-1,2880,2305,552,23
010330014-2,3921,3137,766,18
01085000031,2154,405,1747,2
01077000008,5961,4712,1188,61
01071000004,5065,4468,569,28
01071000002,468,417,51,0
01071000029,4350,3687,642,21
01071000028,6353,4991,1309,53
01071000024,4391,3485,865,41
01071000001,7444,5603,1784,57
01071000003,8385,6117,2214,54
01071000035,1080,880,194,6
01071000006,2476,1960,502,14
01113000501,9309,1281,7989,39
01113000402,6132,507,5595,30
01039000021,2649,2498,149,2
01039000002,1631,1477,143,11
01039000001,22491,15790,6531,170
01071000015,1429,1157,254,18
01049000003,35279,27709,7233,337
01039000007,2435,1947,471,17
01103001001,3440,3019,396,25
01103001502,18069,14516,3351,202
01095000026,20055,17000,2850,205
01095000025,11377,9560,1715,102
01095000021,6068,5256,766,46
01095000014,8367,6805,1479,83
01095000028,4526,3845,653,28
01095000010,35740,29088,6287,365
01095000001,18603,14223,4190,190
01095000004,3538,2820,680,38
01095000024,4866,4106,705,55
01095000007,4914,3968,906,40
01095000003,1559,1181,354,24
01095000015,4271,3660,580,31
01095000022,4787,4093,665,29
01095000016,3987,3428,519,40
01095000012,8368,6933,1337,98
01095000019,4935,3958,914,63
01095000027,4561,3873,652,36
01095000002,19088,15792,3124,172
01095000030,8141,6815,1263,63
01113000706,1855,537,1309,9
01113000601,5215,1373,3811,31
01113000707,10341,7473,2806,62
01113000502,8905,3644,5185,76
01113000703,5298,2863,2396,39
01113000002,13364,8578,4674,112
01113000405,17365,7593,9639,133
01083000101,68327,45966,21583,778
01083001001,13001,8533,4336,132
01083000901,10497,7958,2436,103
01083000801,15592,12724,2734,134
01083000401,7905,6394,1425,86
01083000501,2115,1732,367,16
01083000301,26950,22508,4198,244
01083000201,60258,41294,18161,803
01039000023,2221,2068,141,12
01039000003,16548,13316,3144,88
010130012.2,7470,3629,3814,27
01071000021,31981,24493,7176,312
01071000014,3236,2734,479,23
01113000001,17407,11162,6070,175
01075001301,1291,1242,41,8
01103000901,10169,8487,1576,106
01103000801,6052,4919,1054,79
01103000701,5011,3948,1013,50
01075002001,544,516,27,1
01049000002,36422,30091,6042,289
01049000001,40391,33084,6989,318
01049000004,41052,34754,5936,362
01103003012,1311,70,1240,1
01103001601,7161,5473,1609,79
01103001701,4317,3650,628,39
01103003010,20123,13560,6310,253
01103000401,7367,6001,1287,79
01103000309,3648,2460,1158,30
01103000304,11096,6217,4709,170
01103000601,3289,2693,563,33
01103000308,12220,7189,4892,139
01077000001,5199,4092,1052,55
01077000006,13912,10833,2929,150
01017000008,8285,2726,5534,25
01017000010,3543,1638,1886,19
01017000009,2109,1203,899,7
010170010-A,1153,684,450,19
01017000001,1598,1336,251,11
01017000003,1089,730,355,4
01017000002,807,485,320,2
01017000004,790,690,99,1
01071000039,1911,1548,354,9
01071000038,3691,2776,870,45
01071000005,2711,2330,355,26
01071000010,4356,3098,1223,35
010330002-2,6549,2870,3623,56
010330002-5,3489,2557,911,21
010330016-4,4930,3045,1812,73
010330017-2,6761,4692,2017,52
010330014-3,3441,2124,1300,17
010330011-1,2995,1808,1175,12
010330018-1,5610,4531,1028,51
01103001401,6464,5672,740,52
01071000030,3884,3196,661,27
01085000131,3970,1044,2916,10
01085000111,2375,106,2263,6
01103002401,1928,1612,294,22
010330007-1,437,369,64,4
01071000020,1498,1265,225,8
01071000022,4095,3607,458,30
01071000037,1126,954,162,10
01071000025,1108,938,159,11
01071000013,1383,1212,164,7
01071000018,400,354,42,4
01071000019,389,293,91,5
01069000341,4244,3281,931,32
01075000701,1565,1390,173,2
