GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
01133000007,2450,1968,1880,17,7,51,2,3,88
01133000002,7603,5899,5248,327,68,213,36,4,651
01133000004,1329,1063,991,17,9,37,3,1,72
01133000005,2741,2311,2223,17,19,41,5,0,88
01133000003,1730,1372,1310,22,6,21,4,0,62
01133000001,2907,2311,2191,21,13,63,5,1,120
01063000202,407,339,73,3,259,6,2,1,266
01057001101,935,710,627,19,41,18,5,1,83
01057000101,5385,4277,3089,114,966,104,21,3,1188
01057001701,252,206,98,2,104,0,2,0,108
01069000101,3348,2607,2003,37,482,54,12,2,604
01063000104,352,299,59,2,236,1,0,0,240
01063000201,967,835,270,12,546,5,6,0,565
01063000401,950,756,183,4,561,11,0,0,573
01063000501,751,549,66,3,478,8,1,0,483
01069000331,5454,4221,3255,116,654,71,113,3,966
01069000501,5122,3996,3205,146,449,93,100,13,791
01069000311,4360,3117,2561,146,301,77,38,6,556
01069000181,8331,6523,4287,421,1518,157,138,10,2236
01069000410,7366,5795,4602,202,612,134,230,12,1193
01069000352,6964,5555,4486,171,586,118,176,5,1069
01069000323,5937,4550,2541,286,1503,117,139,18,2009
01069000371,8558,6411,2305,215,3742,136,62,15,4106
01069000211,3143,2529,2160,71,189,83,13,3,369
01069000141,3038,2383,1970,37,316,54,4,3,413
01069000251,2628,2068,914,50,1044,21,46,2,1154
01069000271,762,630,404,10,205,18,1,2,226
01069000121,1745,1397,1132,12,221,25,6,4,265
01069000233,3056,2295,1379,88,783,21,21,1,916
01069000341,1865,1461,1117,44,239,49,15,2,344
01063000105,776,596,106,10,476,1,3,0,490
01077000115,3744,2977,2551,61,251,78,34,3,426
01077000108,1923,1577,1170,45,297,45,13,6,407
01077000004,3109,2523,2332,41,55,68,22,0,191
01077000005,7060,5542,5220,96,51,120,14,2,322
01077000103,2410,1915,1159,72,601,65,26,1,756
01103003011,3310,2438,232,429,1751,49,15,3,2206
01103000101,1163,793,279,374,101,31,4,1,514
01103001501,10416,7847,7032,146,323,258,49,2,815
01103002801,880,707,668,10,15,13,1,0,39
01103001301,3290,2571,2359,32,42,90,14,0,212
01103000403,2522,2022,1913,18,37,29,22,0,109
01103000402,3907,2987,2292,244,296,112,34,6,695
01103000501,7618,5906,5224,135,193,258,85,5,682
01103000303,5432,3812,1257,966,1483,97,37,15,2555
01069000131,2826,2236,1781,62,290,86,17,0,455
01017000014,13033,10253,6293,274,3206,151,308,16,3960
01017000013,4642,3660,2479,75,1027,57,26,1,1181
01017000007,6376,4940,1661,315,2917,70,21,7,3279
01017000012,862,679,422,16,223,10,7,0,257
01103002101,2527,1993,1855,32,34,63,9,0,138
01103002201,2515,1954,1837,23,19,59,9,0,117
01063000301,1088,778,32,3,742,5,2,1,746
01017000006,650,554,454,3,74,18,2,0,100
010170001-A,484,408,250,9,146,7,0,2,158
01017000005,363,314,133,1,179,3,0,0,181
01017000002,312,267,175,2,87,4,1,0,92
010170007-A,566,462,366,7,82,1,8,0,96
01041000003,873,700,208,14,466,8,4,2,492
01041000014,2637,2109,1398,31,637,13,28,2,711
01041000012,232,188,136,1,41,9,1,0,52
010330006-1,715,577,511,9,33,19,4,0,66
010330016-1,777,632,505,13,97,13,1,0,127
010330016-4,2249,1775,1424,35,256,40,11,5,351
010330016-2,2429,1890,1169,94,553,76,7,1,721
010330016-3,1508,1164,391,22,738,6,9,0,773
010330016-7,1500,1210,1091,19,54,20,6,1,119
010330016-6,930,712,489,29,160,28,9,0,223
010330017-3,2634,1997,1588,53,281,48,16,0,409
