GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
55099004857,797,712,673,10,4,6,10,2,39
55099004862,488,427,405,2,0,6,3,0,22
55099004865,220,173,168,0,1,0,0,0,5
55099004863,172,129,128,0,0,0,1,0,1
55099004858,163,129,126,0,0,1,1,1,3
55099004859,308,253,241,6,0,5,1,0,12
55099004889,481,389,382,0,1,1,3,0,7
55099004884,563,425,393,8,0,17,3,0,32
55099004872,727,609,591,8,3,3,1,0,18
55099004882,499,366,331,6,5,5,6,10,35
55099004887,544,457,444,1,0,5,0,2,13
55099004880,423,338,304,12,0,12,4,1,34
55099004870,441,407,395,1,0,4,1,0,12
55099004871,665,559,540,5,0,9,3,1,19
55099004856,184,165,150,1,0,10,0,0,15
55099004855,441,370,355,1,0,8,0,1,15
55135006989,384,302,280,12,0,5,4,0,22
55135006943,642,486,438,25,6,15,1,0,48
55135006990,516,420,393,15,5,5,2,1,27
55135006963,675,531,504,4,1,8,5,0,27
55017000595,902,704,625,24,4,12,32,1,79
55017000593,544,394,357,9,2,14,9,0,37
55017000580,882,678,624,8,3,12,23,0,54
55017000588,911,738,684,8,3,11,10,2,54
55017000587,1403,1083,1009,11,8,19,26,0,74
55127006278,587,489,432,31,2,6,6,0,57
55127006268,90,68,51,16,0,0,0,0,17
55127006277,1936,1518,1235,178,51,13,47,1,283
55127006271,1465,1257,980,163,55,34,29,2,277
55127006276,862,609,485,97,5,18,8,0,124
55127006218,1471,1107,950,113,12,15,12,0,157
55127006204,308,224,182,35,1,4,1,0,42
55127006219,702,479,404,37,6,9,11,0,75
55127006222,635,470,336,99,24,10,3,0,134
55127006233,600,473,337,109,3,15,7,1,136
55127006231,340,273,208,48,7,6,5,1,65
55127006174,482,368,313,43,0,8,3,0,55
55127006175,614,492,451,14,3,16,5,0,41
55127006176,805,659,620,20,3,10,4,0,39
55127006285,744,562,533,8,3,13,6,0,29
55127006151,2097,1992,1637,204,91,12,43,3,355
55127006150,467,399,367,13,5,1,6,0,32
55127006164,660,502,451,39,1,8,5,0,51
55127006283,835,693,660,11,3,6,3,0,33
55127006173,861,707,634,26,2,13,13,3,73
55127006159,711,566,465,64,8,22,2,2,101
55127006158,875,626,504,87,9,14,4,1,122
55127006289,939,747,696,24,6,7,6,0,51
55127006291,805,586,553,21,5,9,1,0,33
55127006288,975,756,713,29,9,8,0,0,43
55127006292,1239,985,888,41,14,25,8,0,97
55127006296,1041,808,607,169,11,15,5,2,201
55127006297,972,638,558,54,3,18,1,0,80
55127006241,589,408,361,37,0,5,3,0,47
55127006239,683,547,455,39,5,13,15,0,92
55127006242,0,0,0,0,0,0,0,0,0
55127006211,1027,842,590,180,14,9,31,2,252
55127006181,426,360,352,2,2,2,4,0,8
55135006931,318,253,250,1,0,0,2,0,3
55135006968,678,468,455,5,0,3,2,0,13
55135006962,923,721,636,40,15,11,3,2,85
55135006947,944,726,656,21,2,24,5,0,70
55135006985,867,727,693,15,4,5,7,0,34
55135006988,729,597,570,5,1,8,5,0,27
55135006930,727,696,660,13,8,14,3,0,36
55135006941,331,262,258,1,0,1,2,0,4
55135006940,447,349,336,7,0,2,3,0,13
55135006925,400,334,318,7,1,9,2,1,16
55135006984,1043,826,769,20,5,12,15,0,57
55135006998,550,455,434,9,1,6,0,0,21
55135008074,0,0,0,0,0,0,0,0,0
55099004878,549,407,377,2,0,10,3,14,30
55099004877,532,449,424,5,4,9,3,4,25
55135006936,735,526,468,21,5,14,8,0,58
55135006911,693,571,492,30,8,20,8,1,79
55099004861,261,238,227,0,0,1,6,0,11
55099004860,644,552,519,3,1,23,2,0,33
55099004886,292,251,244,1,2,7,2,0,7
55099004873,690,538,472,7,3,10,11,30,66
55099004875,170,150,138,4,0,4,2,1,12
55099004874,394,313,285,2,2,11,3,10,28
55125006134,624,567,556,6,0,2,0,0,11
55125006124,528,480,458,4,0,6,2,0,22
55125006121,944,858,822,9,2,20,4,2,36
55067002994,726,626,599,3,3,8,7,2,27
55067002991,253,221,209,1,0,1,0,0,12
55067003020,907,725,692,8,0,18,5,0,33
55067003006,813,628,587,8,6,18,1,0,41
55067003011,890,702,674,8,2,10,7,3,28
55067003005,467,385,374,3,1,5,0,0,11
55067003023,1123,864,789,19,9,37,7,0,75
55067003009,854,729,677,13,1,26,5,2,52
55135006982,505,422,401,9,3,1,0,0,21
55135006916,321,280,269,2,0,5,1,0,11
55135006927,306,257,242,3,0,2,3,0,15
55135006906,689,575,546,15,3,5,0,0,29
55135006996,567,449,415,19,3,6,2,0,34
55135006919,681,553,518,20,1,6,0,0,35
55135006918,826,662,627,21,0,12,1,0,35
55135006956,462,348,326,14,0,4,0,0,22
55135006908,442,327,301,21,1,1,0,0,26
55135006924,774,579,542,26,1,6,1,0,37
55135006979,371,284,277,1,0,4,0,0,7
55135007001,271,211,203,5,0,0,2,1,8
55135006967,435,341,319,8,1,10,0,0,22
55135006969,851,675,638,18,2,15,0,0,37
55135006952,0,0,0,0,0,0,0,0,0
55135006991,841,715,695,2,1,13,1,1,20
55135006994,598,454,410,17,0,14,2,1,44
55135006987,621,482,472,2,4,3,1,0,10
55135007002,650,589,558,11,2,6,13,0,31
55135006973,654,539,511,7,3,11,3,0,28
55135006974,595,455,441,3,1,4,0,0,14
55135006960,487,380,360,8,3,11,1,0,20
55135006959,461,359,335,16,0,6,1,0,24
55009000383,2108,1750,1528,102,32,37,47,3,222
55009000309,902,693,603,29,11,17,30,3,90
55009000382,1950,1552,1395,59,25,38,28,0,157
55009000385,2117,1618,1449,53,24,33,41,1,169
55009000206,2051,1520,908,448,67,63,60,5,612
55009000254,2130,1516,729,558,55,87,137,0,787
55027001487,588,449,430,11,3,3,1,0,19
55027001565,660,539,517,18,2,7,0,0,22
55067002988,91,77,73,0,2,0,0,0,4
55067002995,143,120,118,0,0,2,0,0,2
55067003022,914,710,674,6,4,22,1,0,36
55125006123,805,732,705,12,3,8,5,0,27
55125006127,497,443,416,0,4,12,3,0,27
55125006126,643,556,502,12,0,24,11,0,54
55125006119,436,343,329,3,1,2,3,0,14
55125006116,827,634,238,13,13,377,0,2,396
55125006108,1055,931,899,10,4,16,6,4,32
55009000282,957,700,658,38,1,4,0,0,42
55141007305,1526,1180,1072,37,16,25,30,4,108
55141007304,1306,1094,1012,34,13,17,18,1,82
55141007296,1407,1107,998,23,13,17,45,0,109
55141007302,937,683,574,21,15,11,59,0,109
55141007289,1098,838,761,20,11,6,33,2,77
55141007356,980,831,746,26,18,14,26,0,85
55141007264,790,603,585,9,1,7,1,0,18
55141007349,1870,1403,1219,61,29,43,46,2,184
55141007372,524,394,356,10,9,10,9,1,38
55141007283,152,122,117,4,2,0,0,0,5
55141007324,230,196,185,3,3,0,2,0,11
55053002396,177,153,145,3,2,4,1,0,8
55053002390,155,116,109,1,0,7,0,0,7
55141007303,1208,951,879,17,13,6,36,1,72
55141007348,513,410,387,2,1,9,7,0,23
55141007284,819,643,599,10,7,8,15,0,44
55141007268,181,127,107,5,0,13,1,0,20
55141007341,674,529,481,7,0,28,9,2,48
55141007360,567,449,383,12,18,8,22,0,66
55141007371,1818,1375,1208,62,26,44,30,0,167
55141007373,660,494,440,27,10,6,9,0,54
55027001547,675,540,511,17,3,5,6,0,29
55027001548,342,294,263,19,4,6,1,0,31
55027001514,562,473,456,7,2,3,3,0,17
55027001601,912,746,722,7,8,6,1,0,24
55027001559,289,232,225,4,2,1,0,0,7
55027001515,329,283,264,11,0,5,2,0,19
55027001516,251,206,195,6,0,3,0,1,11
55009000269,2404,1925,1724,62,9,31,86,1,201
55009000218,1376,1098,975,30,13,27,46,0,123
55009000247,1790,1431,1282,65,8,25,38,1,149
55009000333,727,596,590,4,0,1,0,0,6
55009000239,838,619,609,4,1,1,0,0,10
55099004866,366,283,273,1,1,4,0,0,10
55099004864,189,156,150,0,0,1,1,0,6
55141007338,844,700,635,28,6,19,7,1,65
55141007339,807,640,594,21,6,13,0,1,46
55141007262,322,235,225,2,1,3,0,3,10
55141007261,224,152,152,0,0,0,0,0,0
55141007362,356,289,252,11,1,6,19,2,37
55141007359,917,748,648,33,7,21,38,2,100
55141007363,580,459,391,14,18,11,24,0,68
55125006130,635,551,466,5,0,80,0,1,85
55125006137,599,482,271,7,1,201,1,0,211
55125006143,537,446,437,4,1,5,0,0,9
55125006141,523,434,396,10,3,19,4,3,38
55125006138,105,71,63,5,0,1,2,0,8
55027001602,445,341,319,13,2,4,2,0,22
55027001518,571,450,421,7,0,6,4,0,29
55027001519,530,406,364,16,3,18,5,1,42
55009000234,2636,2068,1188,618,124,73,94,2,880
55009000387,1388,1074,916,69,27,28,18,1,158
55009000341,1128,779,711,24,20,7,12,0,68
55009000324,875,591,519,51,3,1,7,0,72
55009000348,1146,860,808,30,6,11,4,1,52
55085004221,380,307,285,2,3,6,2,0,22
55085004263,485,399,384,6,2,5,4,0,15
55085004239,610,504,486,4,1,6,0,0,18
55085004270,425,359,352,3,0,0,2,0,7
55085004259,1038,904,882,7,0,15,0,0,22
55085004278,783,656,610,8,0,16,7,1,46
55085004245,321,282,266,2,6,2,2,0,16
55085004258,469,399,386,2,0,4,4,0,13
55085004246,900,756,729,9,0,16,0,0,27
55085004255,139,118,113,0,0,3,0,0,5
55085004233,808,665,649,3,0,6,6,0,16
55085004249,1011,854,823,11,3,13,2,0,31
55085004226,914,802,731,10,35,18,7,0,71
55125006103,300,263,238,8,1,10,1,0,25
55125006133,987,872,822,8,3,10,3,0,50
55125006125,303,256,250,4,2,2,2,0,6
55125006122,250,235,227,4,0,3,1,1,8
55125006135,939,850,819,7,1,14,4,1,31
55027001525,792,627,606,6,5,8,1,0,21
55027001460,932,744,705,11,4,12,5,0,39
55027001480,881,731,674,29,1,7,13,0,57
55027001463,1544,1216,997,129,53,16,10,2,219
55027001481,989,791,683,73,8,14,8,0,108
55027001471,1071,845,740,55,22,24,14,3,105
55027001464,1546,1249,1056,146,17,13,11,0,193
55027001588,922,774,751,7,0,12,0,0,23
55027001589,373,285,267,15,1,4,2,0,18
55027001501,756,633,610,10,0,9,3,0,23
55033001739,248,196,194,1,0,0,0,1,2
55033001752,147,115,114,0,1,0,0,0,1
55033001750,603,451,429,5,6,6,4,0,22
55033001778,1372,1285,1105,45,39,16,78,0,180
55033001786,1600,1505,1337,43,51,28,53,1,168
55033001779,1354,1082,974,13,17,20,53,0,108
55127006207,875,688,494,186,0,7,0,0,194
55127006161,793,608,463,111,1,16,9,1,145
55127006162,780,594,452,110,17,11,1,2,142
55127006212,963,725,534,175,4,11,5,1,191
55127006209,624,497,401,80,2,9,10,2,96
55127006298,1111,877,804,23,14,13,6,1,73
55127006258,38,34,27,6,0,2,2,0,7
55127006224,788,596,367,205,5,23,7,0,229
55127006208,738,615,556,39,6,9,2,0,59
55127006195,818,656,606,22,9,8,4,0,50
55127006194,637,491,461,19,4,6,0,0,30
55127006193,609,517,496,11,4,3,3,0,21
55127006237,964,724,612,85,2,18,4,1,112
55127006236,1022,761,674,57,3,11,3,2,87
55127006185,473,373,350,16,0,1,0,0,23
55127006183,946,735,708,17,0,3,7,0,27
55127006184,620,495,459,18,3,9,3,0,36
55127006295,378,309,295,8,1,0,4,1,14
55127006186,1008,883,815,34,6,10,13,0,68
55127006188,450,383,365,7,1,3,3,0,18
55127006187,677,556,511,27,6,8,12,1,45
55127006189,761,596,500,60,2,12,9,0,96
55127006294,1185,869,669,154,15,24,15,0,200
55127006263,405,337,318,13,2,2,1,0,19
55127006262,590,450,422,14,2,7,1,0,28
55127006251,351,290,275,5,0,3,1,0,15
55127006261,0,0,0,0,0,0,0,0,0
55127006264,345,282,252,17,4,1,3,0,30
55127006163,560,437,402,14,1,9,4,0,35
55127006265,975,703,591,91,6,9,8,0,112
55127006156,902,751,643,86,11,16,9,0,108
55127006240,733,560,505,41,5,3,4,0,55
55127006192,641,511,426,41,4,12,16,2,85
55127006160,222,136,121,4,2,2,3,0,15
55127006293,806,654,620,19,1,2,6,0,34
55027001557,938,732,696,16,2,11,5,0,36
55085004243,717,637,587,7,2,19,9,0,50
55085004280,260,216,208,2,0,4,2,0,8
55085004257,993,850,813,8,2,16,5,1,37
55085004252,832,705,680,6,0,8,2,0,25
55085004273,875,744,707,6,1,17,10,0,37
55085004276,909,759,722,11,1,10,9,0,37
55085004272,950,804,767,15,1,9,7,1,37
55033001743,1484,1160,1080,20,4,18,22,3,80
55033001790,751,617,582,11,4,11,6,0,35
55033001774,408,331,317,3,0,6,3,0,14
55033001781,1582,1241,1064,31,24,36,83,1,177
