GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
55099004857,3021,1768,1177,76
55099004865,768,486,262,20
55099004859,1082,623,443,16
55099004889,1835,1166,629,40
55099004884,1648,1045,544,59
55099004882,1181,609,539,33
55099004858,605,356,238,11
55099004870,1574,854,696,24
55099004856,633,350,269,14
55099004863,508,342,158,8
55135006989,1123,771,329,23
55017000595,2861,1524,1257,80
55127006278,2100,1179,883,38
55127006277,4733,1947,2614,172
55127006271,3521,1270,2104,147
55127006218,4158,2340,1695,123
55127006222,1377,678,659,40
55127006174,1378,809,544,25
55127006175,1922,1122,754,46
55127006176,2678,1559,1046,73
55127006285,2683,1828,801,54
55127006173,2915,1864,986,65
55127006289,3211,2046,1074,91
55127006292,2950,1882,982,86
55127006296,2215,1252,905,58
55127006253,1735,885,811,39
55127006237,2221,1435,722,64
55127006211,2801,1353,1361,87
55127006181,1458,884,541,33
55135006931,963,669,277,17
55135006962,2140,1259,811,70
55135006985,3107,1900,1136,71
55135006941,917,655,246,16
55135006925,1243,710,497,36
55135006998,1698,1095,567,36
55135006943,1383,694,637,52
55099004878,1378,688,653,37
55099004861,1100,678,405,17
55099004886,1037,699,302,36
55099004877,1357,684,649,24
55125006134,2980,2028,908,44
55125006121,3508,2201,1233,74
55067002994,2834,1809,972,53
55067003020,3062,2097,846,119
55067003006,2118,1095,933,90
55067003005,1656,1075,523,58
55067003023,2448,1330,1020,98
55135006982,1552,1150,379,23
55135006916,1194,826,343,25
55135006919,2051,1279,730,42
55135006956,1122,636,454,32
55135006979,1019,551,438,30
55135006984,2959,1700,1189,70
55135007001,778,453,316,9
55135006967,1258,849,392,17
55135006996,1737,1229,457,51
55135006973,1816,1004,765,47
55135006960,978,654,300,24
55009000383,7002,2970,3761,271
55009000385,7713,4028,3496,189
55009000206,3952,1676,2149,127
55027001487,1960,1380,546,34
55027001565,2066,1537,497,32
55067002988,342,244,93,5
55067002995,527,345,157,25
55067003022,2895,1919,894,82
55125006123,3229,1920,1265,44
55125006127,1420,850,542,28
55009000282,2768,2099,615,54
55141007305,4110,2161,1829,120
55141007304,3358,1739,1520,99
55141007296,3848,1904,1852,92
55141007356,2530,1318,1162,50
55141007264,2483,1779,644,60
55141007349,4020,2015,1875,130
55141007283,549,399,137,13
55141007324,794,530,235,29
55053002396,544,317,210,17
55053002390,474,398,59,17
55141007303,3776,1898,1780,98
55141007348,1625,1033,548,44
55141007284,2703,1699,952,52
55141007268,569,365,188,16
55141007360,1381,691,645,45
55141007373,1492,752,700,40
55027001547,2125,1374,705,46
55027001514,1833,1220,572,41
55009000269,6461,3659,2680,122
55009000333,2433,1658,743,32
55061002816,2377,1556,778,43
55099004866,1122,787,313,22
55099004864,663,434,219,10
55141007338,2491,1485,945,61
55141007262,918,602,299,17
55141007259,765,492,242,31
55141007362,1050,549,484,17
55125006130,1284,526,722,36
55125006143,1805,1181,580,44
55027001602,1562,1176,367,19
55027001519,1697,1187,458,52
55009000234,4852,1779,2934,139
55009000387,4672,1986,2516,170
55009000341,2783,1767,939,77
55085004221,924,413,468,43
55085004263,1593,838,705,50
55085004259,3527,2175,1286,66
55085004245,1212,789,387,36
55085004255,496,329,154,13
55085004233,2968,1888,1012,68
55085004226,3044,1873,1119,52
55125006103,1067,666,374,27
55125006125,1314,802,485,27
55027001525,2713,1965,703,45
55027001460,3349,2494,793,62
55027001480,2539,1376,1106,57
55027001463,3438,1498,1842,98
55027001601,3246,2417,763,66
55027001588,3172,1855,1254,63
55033001739,860,514,335,11
55033001752,547,319,211,17
55033001778,2669,1007,1502,160
55127006207,2637,1728,846,63
55127006212,2317,1180,1077,60
55127006258,90,61,29,0
55127006195,2755,1944,754,57
55127006185,1758,1169,550,39
55127006183,3386,2242,1064,80
55127006184,1938,1290,612,36
55127006295,1258,744,471,43
55127006186,2115,1266,793,56
55127006188,1202,726,453,23
55127006187,2336,1390,880,66
55127006189,2430,1448,915,67
55127006263,1157,756,382,19
55127006298,2877,1869,948,60
55127006251,1064,696,353,15
55127006208,2170,1412,693,65
55127006264,1128,799,307,22
55127006240,1835,1126,630,79
55127006194,2215,1549,604,62
55027001557,3370,2719,598,53
55085004243,2568,1577,934,57
55085004280,839,581,234,24
55085004257,3340,1888,1358,94
55085004252,3370,1889,1428,53
55085004273,3142,1681,1373,88
55033001743,4562,2446,1981,135
55033001781,3377,1284,1959,134
55033001756,602,419,174,9
55033001787,1264,842,370,52
55033001770,1425,930,474,21
55033001769,1518,810,664,44
55085004275,2275,1210,1001,64
55009000220,4485,1438,2852,195
55009000330,3526,1135,2244,147
55009000281,3514,1872,1541,101
55009000292,2240,1487,702,51
55009000205,2257,1698,503,56
55017000611,2562,1586,904,72
55017000604,6290,2918,3188,184
55037001942,701,524,158,19
55037001944,1242,824,401,17
55037001950,1235,808,399,28
55037001941,1189,786,384,19
55085004249,3651,2313,1241,97
55085004238,454,242,204,8
55085004261,1324,861,445,18
55085004240,3145,1660,1398,87
55125006118,2220,1332,847,41
55009000335,2716,1715,914,87
55009000258,4539,2185,2223,131
55009000396,6486,4218,2120,148
55027001466,2160,939,1166,55
55027001593,1479,852,589,38
55019000699,1511,1037,445,29
55037001948,179,128,50,1
55085004260,1776,986,741,49
55085004241,3515,1915,1506,94
55015000484,2944,2075,781,88
55015000468,2584,1764,770,50
55027001530,2006,1391,578,37
55009000367,4795,2226,2409,160
55009000311,4587,2633,1834,120
