GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
48355000039,1257,1063,374,614,47,26,24,0,689
48355000107,6814,4933,2452,2224,79,94,96,7,2481
48355000019,3149,2772,2411,195,10,79,47,2,361
48355000001,2495,2313,1231,866,115,60,62,12,1082
48101000101,405,318,232,61,24,5,7,5,86
48101000301,299,246,132,67,41,5,3,4,114
48101000401,327,267,179,68,14,10,3,2,88
48355000037,2212,1657,168,1419,55,35,6,3,1489
48355000108,2317,1953,695,1226,22,20,11,9,1258
48355000085,1010,753,50,686,17,9,5,1,703
48355000041,864,643,24,601,12,13,1,1,619
48355000071,2870,2204,222,1886,79,40,13,0,1982
48355000026,6851,4972,2040,2066,221,75,581,13,2932
48355000127,1949,1409,742,561,36,27,60,4,667
48355000011,989,718,190,518,6,5,3,1,528
48355000036,1200,915,171,716,12,19,7,2,744
48355000040,5254,4260,3347,612,41,110,137,5,913
48355000081,4996,4156,3312,567,59,88,112,4,844
48355000067,7594,5787,2254,2651,378,109,452,12,3533
48355000032,4148,3310,1176,1687,216,104,169,4,2134
48061000037,3296,2349,57,2280,8,22,7,2,2292
48061000017,12415,8127,209,7861,21,118,24,1,7918
48061000044,4731,3642,1202,2139,122,80,164,15,2440
48061000079,6723,4972,911,3806,77,87,167,3,4061
48307000202,122,105,93,8,1,6,0,0,12
48257000017,2246,1821,1544,193,24,44,7,1,277
48257000028,3183,2499,1664,528,249,48,23,2,835
48257000030,4112,2765,1637,965,74,104,8,4,1128
48257000018,3873,2785,2182,368,142,80,21,2,603
48051000114,3118,2328,1328,662,278,59,18,0,1000
48051000204,979,805,627,100,62,7,8,5,178
48051000301,2103,1636,1108,354,129,50,6,0,528
48051000410,2804,2370,1813,249,175,97,18,1,557
48307000401,1167,881,590,256,17,19,8,0,291
48307000201,1772,1356,567,698,55,33,20,2,789
48055000108,253,180,46,129,4,3,0,0,134
48055000118,160,125,69,49,2,3,1,0,56
48055000405,2561,1830,704,945,124,71,7,4,1126
48055000404,6118,4031,897,2987,82,130,22,22,3134
48055000410,0,0,0,0,0,0,0,0,0
48055000409,57,33,25,6,0,0,1,0,8
48055000401,1940,1460,294,975,171,24,13,2,1166
48165000007,1212,849,121,670,55,11,2,1,728
48165000008,1837,1207,669,501,34,12,4,1,538
48027000307,7247,5303,1429,1981,1793,137,31,24,3874
48063004004,3070,2299,1410,450,351,59,35,9,889
48099000415,299,237,205,15,2,9,2,0,32
48457000003,1931,1571,1219,126,143,51,10,0,352
48457000001,825,665,576,29,41,17,1,0,89
48247000002,1171,873,103,736,1,11,7,4,770
48247000001,1181,856,64,773,5,6,4,5,792
48247000003,1193,870,100,746,0,14,1,1,770
48247000004,1290,915,68,820,2,11,17,3,847
48247000005,3,2,0,2,0,0,0,0,2
48173000003,233,192,139,48,4,1,0,2,53
48173000002,292,220,136,83,4,6,1,1,84
48173000004,298,203,117,81,9,5,1,2,86
48061000078,6571,4738,685,3919,53,104,26,1,4053
48061000028,3081,2133,252,1846,23,25,9,2,1881
48061000042,2535,1857,119,1701,20,26,3,4,1738
48061000087,3714,2839,755,2030,17,41,19,3,2084
48061000035,2268,1711,367,1316,26,58,8,1,1344
48061000032,5491,4031,753,3142,59,80,67,3,3278
48453000443,10228,7335,1013,5694,533,316,123,14,6322
48453000365,4571,3821,2524,852,155,82,222,7,1297
48453000361,2113,1713,1280,273,30,66,66,3,433
48453000352,5128,4413,2715,1160,210,144,240,4,1698
48453000358,6849,5600,3462,1441,305,167,241,14,2138
48453000351,4117,3378,1541,731,135,58,939,8,1837
48453000301,2430,2177,1224,546,99,45,298,3,953
48453000113,21623,16517,4375,6747,2631,447,2651,47,12142
48453000227,5523,3812,579,2238,502,119,479,4,3233
48453000160,5915,4301,1272,1902,584,165,502,8,3029
48453000146,4380,3472,1692,864,459,88,375,7,1780
48453000438,2607,2426,1348,754,125,69,173,9,1078
48453000428,2501,2451,1802,301,111,22,191,0,649
48453000434,0,0,0,0,0,0,0,0,0
48453000432,20,19,6,8,1,2,4,0,13
48453000200,7783,7129,4932,1087,311,139,675,9,2197
48453000202,4720,4265,2822,723,138,110,493,14,1443
48453000259,3836,2997,2025,479,180,93,245,14,972
48029002082,3443,2557,346,2050,128,95,35,7,2211
48123000401,3611,2730,1855,624,181,65,16,1,875
48123000102,2178,1598,335,839,396,26,11,0,1263
48123000302,1888,1411,858,472,60,14,1,1,553
48123000402,1372,1079,935,112,17,13,4,0,144
48123000301,1990,1575,1035,487,45,24,6,2,540
48123000101,3505,2986,1425,1102,418,43,9,4,1561
48355000103,4640,3272,1215,1884,89,91,27,9,2057
48355000100,2165,1605,388,1156,41,26,15,0,1217
48355000101,5449,4042,1452,2414,78,88,42,6,2590
48355000082,1253,1001,148,773,58,27,14,1,853
48355000021,607,531,287,168,16,31,29,0,244
48355000051,4659,3363,736,2357,201,84,31,3,2627
48355000117,4699,3617,2463,821,91,114,145,13,1154
48355000065,5241,4558,2001,1689,732,72,134,7,2557
48355000008,8900,6699,2586,3164,373,174,503,12,4113
48355000091,6687,5686,2393,2320,585,121,317,20,3293
48355000124,4836,3822,1443,1979,142,81,207,18,2379
48371000007,2894,2120,459,1609,21,52,17,0,1661
48453000266,628,505,446,25,1,6,12,0,59
48453000256,2652,1910,1693,116,10,21,48,2,217
48453000212,5848,4226,3449,273,37,42,387,8,777
48453000364,4613,3463,2875,258,38,53,222,4,588
48453000221,1533,1158,859,122,27,13,132,4,299
48453000233,5762,4723,3372,536,159,80,532,6,1351
48453000338,7311,5215,4039,524,67,117,462,28,1176
48453000330,4072,2897,2187,222,41,59,375,5,710
48453000357,769,558,463,28,0,11,54,1,95
48453000232,12185,8030,5587,747,159,134,1333,16,2443
48453000244,7000,5229,3580,702,231,114,559,9,1649
48453000128,0,0,0,0,0,0,0,0,0
48453000154,8655,6629,2063,2115,1208,143,1183,20,4566
