GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
2400107-002,6281,4529,1610,142
2400105-004,3662,2124,1393,145
2400124-000,4700,3530,1056,114
2400120-000,5238,4136,987,115
2400107-001,5743,3973,1629,141
2402102-016,8422,2457,5642,323
2402102-003,12009,3593,7882,534
2402102-006,11705,4750,6552,403
2400902-004,10995,5825,4812,358
24009ZZZZZZ,7,3,4,0
2400903-007,12509,7803,4345,361
2400903-006,11398,7138,3941,319
2402117-001,7357,5205,1939,213
2402118-001,16113,9450,6099,564
2402118-003,6542,3895,2414,233
2402121-001,7698,4554,2863,281
2402109-002,16847,9849,6469,529
2402113-002,646,419,212,15
2402113-001,18332,9470,8195,667
2402109-007,20070,10620,8785,665
2400303-006,27131,12384,13917,830
2400303-007,9131,5361,3396,374
2400303-003,11389,7391,3641,357
2400303-024,9999,6203,3434,362
2400302-007,10364,4681,5311,372
2400307-007,9494,5635,3554,305
2400304-015,12365,6717,5172,476
2400303-004,11179,6612,4107,460
2400307-025,9267,5490,3494,283
2400302-014,9956,2199,7457,300
2400302-012,4921,2851,1840,230
2400302-006,5975,3145,2610,220
2400302-019,7565,2460,4838,267
2402111-001,10039,6880,2867,292
2402104-001,3589,2539,957,93
2402125-001,14227,6992,6589,646
2402112-001,12772,6801,5552,419
2402103-002,13449,7764,5237,448
2402105-001,14167,9506,4178,483
2402107-003,9981,5417,4234,330
2402107-004,8688,3676,4762,250
2402123-001,19625,8857,10076,692
2402106-001,7554,5595,1757,202
2402116-001,14852,9114,5237,501
2402103-001,7896,4466,3151,279
2402114-001,15918,9517,5917,484
2400901-002,10446,4961,5118,367
2401904-001,770,529,224,17
2400903-005,11995,6494,5200,301
2400903-008,14541,7470,6609,462
2400903-003,11317,6332,4651,334
2400902-006,9656,5696,3727,233
2400903-004,11286,6760,4095,431
2402102-011,8852,2607,5851,394
2402107-002,17668,6876,10185,607
2402109-009,4936,2509,2281,146
2400901-005,12420,6851,4983,586
2400903-001,9351,4975,4036,340
2400902-002,11114,6414,4411,289
2400902-001,11937,6983,4670,284
2402110-001,6420,4831,1415,174
2402102-010,15607,5722,9335,550
2402102-005,15999,5008,10317,674
2402102-018,7932,3149,4476,307
2402102-015,15010,6304,8254,452
2403321-005,7181,1121,5890,170
2403321-014,6278,1157,4953,168
2403302-003,10873,1425,9130,318
2403306-022,11026,549,10312,165
2403310-009,9178,1186,7758,234
2403310-007,7710,1343,6152,215
2403310-011,7719,928,6593,198
2402102-004,16440,4735,11109,596
2402102-001,11892,3038,8332,522
2402102-017,7245,1520,5438,287
2400901-004,10191,6361,3486,344
2402124-002,3772,2058,1575,139
2402124-005,3813,1726,1979,108
2402109-005,6513,3555,2757,201
2402108-001,8634,5922,2496,216
2402126-002,13645,7176,6006,463
2402109-003,2436,1472,879,85
2402109-006,13704,6655,6613,436
2402107-001,7984,3924,3724,336
2402107-005,359,219,121,19
2402121-002,8187,3251,4659,277
2402121-003,5275,2515,2563,197
2402101-002,15819,5689,9530,600
2403304-001,7454,3291,3941,222
2403320-005,7755,953,6640,162
2403320-001,10885,1323,9348,214
2403301-004,10034,2320,7390,324
2403301-005,10944,3022,7602,320
2403301-006,6622,892,5572,158
2403318-002,6182,282,5776,124
2403302-002,6387,700,5521,166
