GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
26039039006,2114,1650,1571,18,8,24,11,1,79
26039039004,342,282,266,5,0,8,2,0,16
26047047017,1492,1261,1102,30,18,110,4,2,159
26047047013,1295,1049,958,4,2,65,7,2,91
26143143004,2414,2076,1933,35,15,58,8,0,143
26143143008,1252,1130,1077,15,2,18,1,1,53
26143143005,2796,2416,2293,25,14,47,9,5,123
26143143013,2463,2052,1912,33,24,57,11,3,140
26143143014,1934,1622,1535,22,5,28,12,2,87
26137137014,2857,2374,2236,22,14,55,14,2,138
26137137004,1300,1034,983,7,4,24,2,0,51
26137137012,2725,2121,1979,27,11,67,15,0,142
26039039007,1268,1067,1010,16,11,19,5,2,57
26039039005,1918,1566,1466,19,6,39,17,1,100
26039039003,1867,1454,1298,59,16,56,16,3,156
26053053002,1135,933,878,11,5,26,7,1,55
26053053008,455,414,393,0,5,13,0,0,21
26137137001,3153,2407,2279,28,9,53,15,2,128
26137137008,1917,1441,1317,30,24,52,10,1,124
26137137003,1350,1141,1097,13,2,24,4,0,44
26137137005,1708,1387,1299,13,13,42,3,0,88
26001001001,966,879,830,12,8,14,4,0,49
26001ZZZZZZ,0,0,0,0,0,0,0,0,0
26005005023,2113,1738,1581,89,9,20,22,0,157
26005005024,2838,2316,2057,162,25,31,37,1,259
26005005010,2454,1839,1691,55,27,43,16,1,148
26005005009,3334,2383,2218,74,25,46,15,3,165
26005005008,2134,1572,1470,42,18,26,9,2,102
26005005017,3937,2872,2650,101,16,57,29,2,222
26005005029,3312,2448,2143,210,16,32,15,1,305
26047047022,711,614,543,6,11,43,5,1,71
26047047004,568,472,415,2,3,52,1,0,57
26047047008,954,771,707,6,3,42,4,1,64
26047047001,3061,2386,2173,46,21,115,19,2,213
26031031003,3133,2639,2401,11,16,173,19,1,238
26031031012,2160,1776,1624,7,5,120,8,0,152
26001001008,1076,952,918,8,3,17,3,1,34
26005005016,2462,1836,1685,37,32,53,13,1,151
26005005007,2060,1588,1001,517,27,49,8,0,587
26005005045,4435,3256,2930,123,45,98,31,1,326
26011011015,1701,1394,1286,23,6,67,6,4,108
26039039002,1161,952,886,15,2,36,4,2,66
26073073019,5959,5629,4066,278,863,112,295,3,1563
26073073017,3788,3007,2328,127,187,152,236,4,679
26081081204,2488,1954,1792,59,30,45,5,0,162
26081081205,4023,2943,2739,85,17,42,24,1,204
26081081051,3612,2589,2270,119,63,93,45,6,319
26081081192,3127,2367,2196,52,41,33,31,0,171
26081081191,3460,2600,2386,87,37,44,26,1,214
26081081052,2704,1874,1740,38,13,37,27,2,134
26081081208,2946,2202,1943,170,29,32,13,2,259
26081081206,4154,3216,2901,167,42,58,18,1,315
26081081199,3158,2538,2295,84,40,44,44,3,243
26081081045,3090,2259,2020,52,37,16,112,4,239
26081081006,1236,891,782,19,19,8,54,0,109
26081081238,1791,1423,1030,212,127,46,35,1,393
26081081119,2859,2632,2181,173,164,36,75,1,451
26081000002,1728,1366,1263,21,15,33,3,0,103
26081081209,2437,1916,1805,36,11,39,9,2,111
26081081023,4801,3353,2122,486,541,122,121,8,1231
26081081026,1669,1228,1004,59,37,25,87,2,224
26081081230,1885,1404,907,238,162,42,54,0,497
26081081012,2510,1853,1694,58,34,44,18,2,159
26081081011,2391,1709,1564,58,18,31,18,3,145
26081081009,1640,1255,1154,41,4,26,13,0,101
26081081123,1867,1475,1070,57,284,14,41,3,405
26081081187,2239,1676,1552,55,21,26,11,0,124
26081081186,2656,2087,1895,64,22,60,15,1,192
26081081081,3232,2405,1334,605,373,105,38,4,1071
26081081071,2114,1778,1150,282,249,73,59,4,628
26081081082,3655,2818,1629,655,430,82,56,1,1189
26081081074,2211,1783,1244,299,177,30,35,0,539
26081081020,3289,2433,2234,85,21,52,28,0,199
26107107003,2337,2002,1647,85,134,70,52,5,355
26107107005,2096,1601,1410,42,62,51,12,0,191
26107107001,2241,1689,1582,24,17,31,11,0,107
26107107016,2744,2105,1947,54,19,50,14,1,158
26107107006,3917,3139,2800,87,116,59,59,3,339
26107107004,3294,2886,2268,128,283,61,126,0,618
26095095002,1135,923,850,3,1,61,1,2,73
26095095001,169,140,126,0,1,12,1,1,14
26081081010,1939,1522,1427,32,1,20,21,0,95
26081081013,3571,2475,2308,48,20,40,47,0,167
26081081203,3602,2480,2302,58,21,29,45,2,178
26081081064,5210,3847,2086,478,815,81,414,13,1761
26081081233,2741,1881,635,1026,193,79,19,2,1246
26081081091,1432,908,167,492,230,71,19,0,741
26081081107,4232,3703,2699,297,475,71,153,10,1004
26043043011,2820,2204,2115,21,8,37,5,1,89
26043043009,2365,1933,1843,21,11,37,18,3,90
26043043010,2774,2218,2053,46,18,46,31,2,165
26081081017,3477,2558,2002,257,168,68,44,9,556
26081081014,1427,1171,1022,90,17,24,18,2,149
26081081223,2896,2148,1160,608,244,80,115,11,988
26081081225,3489,2670,1285,822,400,57,128,1,1385
26081081207,2295,1751,1534,132,15,33,13,0,217
26043043013,1066,906,871,5,1,15,3,0,35
26043043002,1678,1298,1242,5,5,29,8,0,56
26043043006,2544,1998,1862,51,21,44,22,0,136
26029029011,1515,1279,1180,21,1,44,8,2,99
26029029019,1939,1547,1441,25,8,47,11,9,106
26029029012,1854,1581,1451,14,12,79,11,2,130
26029029003,1425,1156,1082,14,5,35,11,1,74
26081081182,2083,1563,1408,56,23,42,10,0,155
26081081184,3133,2379,2244,25,27,26,30,3,135
26089089004,3152,2575,2381,53,22,60,11,2,194
26089089005,1763,1441,1300,73,3,33,15,0,141
26081081216,2819,2271,1873,121,105,61,105,0,398
26081081215,3276,2673,2175,178,201,53,50,1,498
26001001005,773,617,580,3,9,14,3,0,37
26065065025,3475,3219,2478,189,130,44,375,5,741
26065065027,2149,2068,1360,75,375,14,241,1,708
26065065038,2561,2154,1295,262,449,75,92,3,859
26065065070,2465,2031,1221,189,457,71,104,2,810
26065065066,2869,2382,1136,281,835,55,112,3,1246
26065065039,2509,2000,1282,239,375,76,62,7,718
26065065048,1543,1289,1032,110,87,39,34,5,257
26065065045,2715,2159,1536,284,258,66,19,0,623
26065065094,2889,2117,1235,75,106,29,676,0,882
26065065014,2670,2082,1803,86,101,46,37,1,279
26065065008,3703,2926,2192,146,389,85,100,5,734
26065065009,3306,2555,2044,125,212,60,119,5,511
26029029001,1288,1054,991,4,4,21,9,0,63
26029029014,1657,1337,1259,26,11,34,0,1,78
26029029016,700,595,560,4,4,20,0,1,35
26011011006,2050,1644,1544,31,14,40,9,1,100
26011011004,896,768,731,6,2,18,5,0,37
26011011001,554,421,411,0,3,7,0,0,10
26011011005,1001,808,760,13,5,22,4,0,48
26011011008,750,623,570,11,6,31,4,0,53
26069069009,1572,1268,1136,59,16,35,16,1,132
26029029018,259,231,217,1,0,13,0,0,14
26029ZZZZZZ,0,0,0,0,0,0,0,0,0
26029029017,266,233,223,3,4,2,2,1,10
26065065078,2023,1625,1023,250,286,45,36,1,602
26065065018,2564,2150,1841,86,74,28,117,1,309
26065065005,1749,1378,1242,59,13,28,19,4,136
26065065085,1809,1408,1331,23,3,27,17,2,77
26065065075,1702,1366,955,115,222,35,38,1,411
26065065064,1682,1385,990,94,231,35,34,2,395
26065065067,1895,1400,529,133,673,64,43,1,871
26075075053,2142,1585,1475,35,10,53,11,2,110
26075075062,2618,2054,1939,29,19,42,5,0,115
26075075048,1643,1310,1228,21,20,27,6,0,82
26065065036,2234,1836,1239,232,223,66,88,6,597
26065065043,2366,2034,1462,128,196,38,200,2,572
26065065011,2860,2318,1763,89,227,30,187,0,555
26065065012,2509,1802,1421,115,187,36,40,2,381
26065065015,2737,2031,1748,83,71,59,64,3,283
26065065024,3787,3351,2820,156,127,35,217,8,531
26065065089,2021,1471,1260,62,58,22,70,1,211
26065065044,2859,2223,1240,268,572,80,78,3,983
26065065059,2685,2146,1197,283,592,63,57,3,949
26029029020,1858,1486,1386,6,3,61,15,2,100
26029029002,3816,3044,2820,38,23,103,28,11,224
26075075014,2115,1649,1544,41,10,41,3,1,105
26075075047,1949,1480,1361,44,17,36,9,1,119
26075075041,2288,1842,1729,28,15,45,14,0,113
26075075033,3673,2955,2732,61,36,87,11,1,223
26075075035,3445,2647,2368,52,98,74,35,1,279
26075075034,3900,3012,2753,69,51,96,14,2,259
26075075036,2829,2280,2095,52,27,57,18,0,185
26065065072,2148,1739,1235,145,268,22,70,5,504
26065065071,2553,1942,1008,353,499,76,55,3,934
26065065001,965,776,704,35,11,8,11,0,72
26065065051,2121,1619,688,192,534,52,195,2,931
26065065117,2802,2153,1979,51,23,49,28,2,174
26065065113,1710,1341,1236,40,12,31,17,1,105
26065065115,3819,2960,2682,91,48,56,45,0,278
26065065068,1701,1320,843,114,320,39,37,4,477
26011011003,945,779,704,14,7,31,6,4,75
26011011017,907,786,761,5,6,11,1,0,25
26163163196,918,673,16,4,644,3,1,3,657
26163163520,1242,1159,319,25,780,12,36,1,840
26163163521,1199,851,18,10,827,13,1,1,833
26163163460,2367,2217,732,75,1317,31,91,0,1485
26163163461,1331,1153,48,19,1085,2,7,1,1105
26163005125,426,395,36,4,352,0,6,0,359
26163163519,1285,1182,94,6,1073,6,11,0,1088
26163163518,964,820,19,4,788,15,9,0,801
26163163085,2852,1868,1628,68,65,5,67,2,240
26163163083,1560,1477,1258,18,187,4,4,2,219
26065065031,2703,2388,1455,122,253,20,529,11,933
26065065080,1551,1214,840,121,210,27,29,1,374
26075075061,3534,2704,2202,132,262,82,22,3,502
26075075046,2801,2121,1971,54,31,38,10,1,150
26027027021,1096,852,789,11,19,25,4,1,63
26027027022,2576,2115,1880,81,54,73,6,1,235
26027027020,3051,2444,2110,180,29,91,12,1,334
26027027017,2119,1690,1433,76,113,59,12,1,257
26027027002,1953,1441,873,102,375,83,9,1,568
26027027003,1857,1382,1103,80,111,78,6,4,279
26027027004,1911,1369,1013,55,182,97,11,2,356
26075075016,2600,2030,1863,32,19,73,7,1,167
26075075019,2769,2035,1557,136,235,100,32,1,478
26075075029,1781,1446,995,52,353,22,13,2,451
26075075028,1586,1282,839,48,326,43,26,0,443
26075075011,2403,1848,1726,31,25,37,16,2,122
26075075045,1883,1463,1374,24,13,32,4,1,89
26075075006,2666,2169,2024,26,23,40,27,2,145
26065065034,3183,2307,1158,577,424,93,65,1,1149
26031031020,297,242,213,3,2,14,4,0,29
26031031018,1195,943,865,15,5,43,7,1,78
26031031008,557,466,430,6,1,25,4,0,36
26031031021,373,302,285,4,1,4,0,0,17
26031031009,977,807,762,8,4,23,2,0,45
26031031019,3080,2562,2387,31,4,96,19,0,175
26163163555,167,145,73,8,61,3,1,0,72
26163163517,303,247,25,10,202,10,4,0,222
26163163554,1625,1484,836,54,530,19,49,1,648
26163163928,2787,2254,1392,93,556,83,115,6,862
26163163933,2665,2204,1552,75,505,47,40,0,652
26163163666,2504,1975,1692,83,92,64,25,0,283
26007007011,1123,908,859,4,5,25,2,1,49
26007007006,1704,1428,1374,8,1,31,1,0,54
26007007015,2078,1616,1559,11,6,23,6,0,57
26007007010,1781,1467,1421,7,8,18,8,0,46
26007ZZZZZZ,0,0,0,0,0,0,0,0,0
26007007014,1640,1352,1289,12,3,30,2,2,63
26027027001,1993,1600,1213,15,294,51,9,2,387
26027027016,1755,1417,1218,28,103,26,37,1,199
26027027009,3787,2997,2154,121,470,150,62,0,843
26027027018,2179,1773,1651,40,15,44,6,4,122
26027027019,1571,1321,1256,19,24,11,3,0,65
26027027013,1602,1278,1176,21,31,26,13,0,102
26007007007,1740,1448,1368,17,10,26,14,4,80
26007007002,1798,1566,1464,20,23,26,19,7,102
26007007005,1851,1493,1388,27,6,41,12,3,105
26007007001,3485,2756,2540,55,25,88,20,10,216
26007007009,1562,1257,1160,32,16,25,9,1,97
26081081142,1427,1128,886,53,154,17,28,1,242
26081081103,2755,2141,1272,127,611,60,92,6,869
26081081022,4220,3172,2845,81,34,38,172,2,327
26081081149,2213,1865,1710,45,31,14,60,0,155
26081081120,3293,2334,820,220,833,40,449,5,1514
26081081067,3581,2614,2349,90,51,42,73,2,265
26081081061,3016,2155,1908,85,51,38,60,4,247
26027027014,3572,2637,2405,59,37,75,35,3,232
26027027012,3128,2465,2245,65,46,56,50,2,220
26075075054,3184,2361,1807,91,353,42,36,0,554
26075075005,3233,2458,1984,103,261,75,39,3,474
26065065033,3167,2430,1562,415,302,133,45,7,868
26081081034,2670,2011,1792,70,78,25,39,9,219
26081081030,3515,2902,2425,173,225,22,49,4,477
26081081007,1370,1036,943,30,19,11,26,0,93
26063063027,627,484,466,7,1,1,1,0,18
26063063002,1642,1300,1256,18,5,12,8,1,44
26097097013,2306,1913,1305,24,16,559,18,1,608
26097097010,1029,886,603,15,10,247,6,0,283
26027027010,2401,1871,1733,36,19,54,10,1,138
26163163032,3247,2604,1699,93,498,52,256,5,905
26163163060,3287,2651,1022,75,430,59,1067,1,1629
26163163093,1382,1177,973,63,74,26,44,0,204
26163163137,1868,1403,1065,89,193,39,24,0,338
26163163876,2665,2136,1784,159,77,78,21,2,352
26163163153,1818,1391,136,35,1200,34,9,0,1255
26163163183,868,665,112,9,537,12,5,0,553
26163163296,2122,1503,17,20,1467,22,10,1,1486
26163163297,1190,850,17,2,828,21,4,1,833
26163163841,3602,2784,1511,111,1054,64,57,1,1273
26163163752,2680,2177,1896,75,66,10,114,4,281
26163163899,2980,2407,1722,136,409,72,57,1,685
26163163134,2425,1798,1645,28,56,17,39,1,153
26163163125,2039,1579,1378,63,63,18,42,0,201
26163163605,803,593,17,1,570,7,2,0,576
26049049170,2896,2171,1894,50,106,48,60,2,277
26049049110,1881,1026,206,18,778,17,1,0,820
