GEOID,TOT,REP,DEM,OTH
370890000RR,4745,2887,1747,111
37057000032,4882,2089,2657,136
37057000004,27663,19853,7231,579
37057000076,14604,11788,2540,276
371510000TR,37623,30086,6751,786
370830RR-10,11566,6494,4907,165
37083WEL1-2,5762,1113,4579,70
370830LIT-1,7338,2707,4567,64
3704900DFB9,3937,2155,1712,70
3704900CFB8,6761,4263,2383,115
37147001001,13064,7315,5476,273
3710700000C,10109,5339,4615,155
37049000017,10511,7568,2615,328
370490000N2,9047,2051,6809,187
37037000015,11373,4001,7118,254
37037000078,26062,9003,16664,395
37037ESC114,17770,7849,9615,306
37037000042,10053,5556,4257,240
37037000006,3805,3145,621,39
37037000045,4917,2808,1972,137
37099000GCK,5008,2803,2067,138
37099000CUL,25335,9848,14289,1198
370210013.1,10771,1276,9139,356
3714700800B,9030,3876,4963,191
3714701512A,24833,9490,14827,516
37119000022,37703,12314,24221,1168
37119000207,26658,13892,12014,752
37119000242,15508,10239,4990,279
37119000043,12458,1392,10720,346
37119000136,12486,6492,5690,304
37119000211,45526,8993,35308,1225
37119000241,37125,16758,19421,946
37017000P65,2865,1892,912,61
37017000P10,3027,1916,1065,46
37119000031,9811,592,8971,248
37119000088,12895,5288,7141,466
37119000230,41538,10893,29612,1033
37119000205,17863,5173,12290,400
37025001-04,26510,12167,13587,756
37119000209,23063,11325,11039,699
3710100PR22,14220,10088,3851,281
37119000145,47789,15321,31241,1227
37119000239,16393,3936,12072,385
37025002-09,33781,13649,19397,735
37119000094,9035,2716,6059,260
37119000141,14387,2810,10935,642
37119000105,18334,3113,14656,565
3714900CL08,12232,7502,4499,231
37035000005,14432,10299,3781,352
3714701513A,15624,7714,7520,390
37119000213,21028,2430,18104,494
37119000093,9426,5084,4100,242
371750000CM,3920,1989,1836,95
371750000BD,11986,7560,4118,308
371750000WC,8014,4326,3499,189
371750000PF,5639,3465,2020,154
37147001501,4370,334,3966,70
371750000B4,7186,2762,4203,221
371750000RE,8526,6511,1788,227
37119000013,16914,3745,12618,551
37119000026,14869,1724,12788,357
37123000UWH,6574,5079,1347,148
37123000PEE,5476,4176,1198,102
37123000STA,7043,5293,1592,158
37125000WEM,9877,8079,1640,158
371230000T1,8785,5215,3401,169
37123000CAN,6048,3185,2724,139
37113000002,5304,3156,2007,141
37113000014,3537,2538,903,96
37113000010,2093,1311,725,57
370210030.3,14560,7293,6873,394
370210071.1,18987,7773,10722,492
37147000301,17295,5545,11450,300
37119000220,16079,9227,6507,345
37119000058,11216,4500,6320,396
37119000099,8812,1167,7342,303
37119000233,21760,11326,9954,480
37119000009,20679,6417,13688,574
37119000140,26974,12577,13735,662
37119000109,13606,3212,9957,437
37155000002,8047,3544,4372,131
3715500032A,18058,9413,8374,271
37155000023,12331,7398,4675,258
37155000022,10366,5150,4981,235
37155000016,3984,239,3686,59
37017000P60,6514,2975,3432,107
3701700P201,6547,4946,1468,133
37047000P15,8970,5008,3865,97
37119000231,21759,8126,13068,565
37017000P25,4723,2217,2420,86
37047000P18,2298,1388,874,36
37017000P40,7140,4835,2184,121
3700300LRSL,9335,7481,1643,211
3700300T2T3,12677,8712,3622,343
37019000006,6902,4371,2327,204
37019000022,13720,8725,4662,333
37019000023,14492,9131,4974,387
37099000SAV,5311,3286,1863,162
37113000012,9308,6039,3048,221
3704300SHCR,5519,4418,996,105
3703100BFT2,16392,9635,6309,448
3703100EMIS,18004,12085,5605,314
3713300SW19,22934,16152,6129,653
3703100BFT1,7098,2988,3949,161
3703100DASW,3120,2462,602,56
3703100BOGU,13698,10545,2807,346
3704700P22A,8660,5733,2788,139
3704700P01A,6865,4016,2723,126
37047000P24,8393,7191,1068,134
3704700P26B,12824,7195,5446,183
3704700P25B,5654,4965,591,98
3704700P16B,7225,4620,2429,176
3704700P02B,4311,1618,2600,93
37047000P09,4369,2148,2139,82
37047000P08,1718,1543,146,29
37023000051,14694,9526,4753,415
37009000009,14957,10130,4479,348
37093000063,12516,3456,8736,324
37093000061,6198,2143,3935,120
37155000039,5803,3288,2426,89
37185000010,7771,1627,6025,119
371070000K6,8155,1027,7014,114
3710700000W,5308,4303,920,85
37103000P06,2527,1933,535,59
37107000PH1,2986,2342,597,47
3703100CISL,803,605,177,21
3703100ATSL,2852,2128,674,50
3712700P16A,9626,3510,5989,127
370870000EF,5588,4057,1378,153
3714500PNTH,17241,7630,9260,351
3708700WS-2,7943,4061,3682,200
37009000020,13486,9112,4013,361
37009000014,10809,7187,3398,224
37009000012,2922,2020,834,68
37009000011,8629,5966,2449,214
37023000014,8787,7226,1365,196
37023000036,8467,5949,2284,234
37023000035,6259,2676,3401,182
37023000065,4758,3611,1031,116
370870000AC,9655,5776,3583,296
37093000062,4030,1682,2248,100
37119000016,13139,401,12532,206
37069000019,27842,15710,11435,697
37069000009,7108,4322,2638,148
37049000020,15014,9491,5222,301
371370001RB,6472,4844,1476,152
3704900TE13,5656,4593,927,136
37049000019,13140,6703,6175,262
37049000021,14056,9751,4033,272
370490000N4,19421,7964,10884,573
37049000016,17972,11926,5549,497
3719500PRWB,4185,274,3865,46
3719500PRWL,11469,5617,5621,231
3719500PRTO,16636,8765,7610,261
3719500PRWN,9933,662,9172,99
3719500PRWJ,16512,6495,9722,295
3719500PRCR,10209,6848,3188,173
3719500PRSP,9120,6140,2835,145
3703100MCRK,2528,2063,405,60
3703100BCRK,8900,6763,1924,213
3703100WILD,15384,10746,4203,435
3703100CCCP,15223,11518,3364,341
3703100MERR,2420,1577,813,30
37009000004,2213,1322,852,39
37009000015,3964,3072,822,70
3700500006A,6771,4814,1808,149
37193000125,3347,2720,554,73
37017000P30,5804,1192,4531,81
37047000P14,15165,8036,6853,276
3703100MASM,3047,2055,928,64
3700300S1S2,12392,9520,2526,346
3719500PRWQ,2611,67,2522,22
3719500PRWI,7483,2041,5328,114
3719500PRTA,29410,15425,13548,437
3703100MHD4,13594,9544,3753,297
3710900ST36,14559,9985,4217,357
37035000009,11443,9370,1838,235
3716100016A,12074,9408,2441,225
37111M.COVE,7458,5811,1519,128
3716100004A,10096,7622,2271,203
3710900LI14,6876,4635,2050,191
3710900SL24,8122,5993,1928,201
37161000014,10301,6310,3707,284
37161000029,8482,5841,2497,144
37023000052,5621,3743,1725,153
37023000001,13571,9177,4030,364
37009000007,1586,1085,460,41
3708700CL-S,11177,6827,4027,323
3708700CL-N,9635,5894,3438,303
3714500ALVI,9811,5205,4418,188
3714500CUCL,8597,5388,3069,140
3714500WDSD,5039,2412,2523,104
370870000BC,131,66,59,6
37093000012,15388,8829,6007,552
37171000031,15034,9441,5289,304
37171000019,11467,8048,3174,245
37171000023,4464,3260,1098,106
3719500PRBL,11957,8645,3143,169
