GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
12001000071,5911,3611,2198,102
12001000067,9155,4935,4012,208
12001000008,18455,10619,7417,419
12001000009,11616,6398,4996,222
12001000070,13520,8814,4337,369
12001000069,13143,7910,4867,366
12001000047,12519,3279,8882,358
12001000002,6100,3454,2533,113
12001000055,9202,1451,7447,304
12001000054,11938,3906,7712,320
12001000064,8310,4289,3791,230
12001000005,2330,1556,715,59
12001000068,7104,3170,3763,171
12001000010,9249,4364,4748,137
12001000003,2749,1287,1409,53
12001000056,10250,2022,7943,285
12001000037,8712,389,8175,148
12001000023,11587,998,10438,151
12001000032,10709,1511,8987,211
12001000006,5268,3344,1778,146
12001000004,3685,2079,1501,105
12001000011,8330,4408,3741,181
12001000015,12213,6019,5945,249
12001000016,16520,7966,8236,318
12001000051,11814,3366,8133,315
12001000052,9120,2745,6181,194
12001000053,13353,4873,8092,388
12001000022,12322,5131,6928,263
12001000024,10743,3565,6836,342
12001000036,6624,603,5807,214
12001000065,11692,7273,4173,246
12001000066,18511,12660,5473,378
12001000059,14628,5306,8965,357
12001000030,7288,1869,5248,171
12001000043,9970,2915,6812,243
12001000046,10238,1720,8229,289
12001000048,7644,1981,5478,185
12001000049,14627,1978,12281,368
12001000021,10690,4959,5550,181
12001000012,6807,3498,3176,133
12001000029,16856,4557,11855,444
12001000040,14362,4049,9837,476
12001000050,9810,1374,8226,210
12001000001,5986,2895,2947,144
12001000031,23326,6061,16643,622
12001000013,60,27,36,-3
12001000025,7065,2964,3941,160
12001000057,12195,2923,8932,340
12001000019,7858,1983,5653,222
12001000045,10440,4049,6169,222
12001000044,10425,3538,6687,200
12001000034,14757,5115,9234,408
12001000038,26214,10833,14882,499
12001000028,11289,2458,8510,321
12001000042,10664,4232,6177,255
12001000020,13350,6054,7021,275
12001000035,12538,4142,8079,317
12001000058,22655,4228,17738,689
12001000018,17015,8235,8500,280
12001000014,4804,2719,2001,84
12001000039,14306,5714,8322,270
12001000041,10651,3553,6822,276
12001000007,11501,5206,6110,185
12125000004,6571,5356,1077,138
12001000027,13843,3262,10184,397
12001000026,4983,752,4120,111
12001000017,12236,5448,6484,304
12001000033,20577,8735,11364,478
1200300001A,9045,5979,2970,96
1200300005A,15086,12922,1943,221
1200300006A,1129,741,350,38
1200300002A,15237,12144,2805,288
1200300003A,13674,11409,1996,269
1200300004A,897,811,57,29
1200300004B,2560,2283,217,60
1200300004C,9087,8141,852,94
1200300004D,4129,3710,354,65
12005000001,6632,5476,837,319
12005000002,4515,3826,561,128
12005000003,2606,2231,325,50
12005000004,11627,9716,1539,372
12005000005,11339,9637,1432,270
12005000006,14908,12628,1970,310
12005000007,1964,1604,300,60
12005000008,14287,10871,3113,303
12005000009,13033,9495,3208,330
12005000010,18864,14053,4395,416
12005000011,21101,14972,5608,521
12005000012,19755,14623,4604,528
12005000013,9864,7542,2086,236
12005000014,17426,12886,4031,509
12005000015,13997,11383,2406,208
12005000016,6650,5741,793,116
12005000017,13970,10710,2880,380
12005000018,10808,8687,1965,156
12005000019,7824,4810,2819,195
12005000020,6994,5457,1369,168
12005000021,17773,14087,3263,423
12005000022,16739,12663,3687,389
12005000023,18780,13376,4928,476
12005000024,5911,4174,1576,161
