GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
13091000LEE,8498,6581,3745,199,2524,56,61,12,2836
130910RAWLI,1707,1341,924,58,334,17,6,2,417
130910MITCH,505,400,340,5,55,0,0,0,60
130910EDDIN,1450,1153,827,13,298,16,1,0,326
130910MULLI,1975,1743,835,43,855,5,13,1,908
130910PLAIN,663,533,451,8,67,3,1,3,82
1315300ROZR,20842,15775,9919,464,4820,263,319,11,5856
1315300RECR,17798,12536,3240,1229,7696,273,246,19,9296
1315300HHPC,15391,11867,5590,1052,4807,272,297,35,6277
13153000VHS,9625,6852,4538,356,1587,165,235,18,2314
1315300CGTC,7249,5417,3452,314,1310,82,250,16,1965
13153000BMS,14098,10308,6922,508,2216,237,452,30,3386
1315300NSES,3448,2743,1844,118,671,64,46,12,899
1315300CENT,11884,9087,5378,589,2483,200,471,8,3709
1315300HEFS,1881,1455,887,39,488,39,12,2,568
1305900006A,4819,3935,2229,415,1029,78,202,6,1706
13269000005,3311,2644,2074,52,458,41,19,1,570
13319000010,2363,1859,958,19,858,18,1,0,901
13209000005,2676,2138,1024,112,981,17,15,3,1114
13209000001,755,648,420,38,166,8,13,0,228
13161000402,1044,801,701,37,49,17,1,2,100
13209000007,1360,1079,716,109,233,22,1,0,363
13185000001,8332,5993,4626,244,888,134,75,12,1367
13153000TMS,9118,6817,3097,433,2808,123,384,20,3720
13071000008,2293,1622,1156,383,57,16,7,1,466
13183000002,4674,3137,1883,221,853,110,92,22,1254
13183000006,498,360,266,32,54,7,4,0,94
13183000001,2651,1883,865,606,355,63,23,1,1018
13183000007,1733,1206,786,49,330,28,16,4,420
13183000004,3166,2151,1201,207,642,60,40,38,950
13015000003,11581,9129,5973,1120,1691,236,190,10,3156
13015000016,10158,7760,4927,816,1664,184,210,8,2833
13015000005,16605,12590,9357,1309,1360,327,228,11,3233
13015000011,5760,4416,3319,328,587,133,38,0,1097
1315300FMMS,13329,9745,5312,553,3144,196,583,25,4433
13015000014,3969,3058,2761,116,57,87,19,0,297
13185000009,5706,4293,3229,199,717,96,69,3,1064
13185000008,6035,4627,3721,225,548,92,37,4,906
13185000003,45590,35040,14552,1900,17293,605,871,100,20488
13185000002,21347,15467,8398,1188,4977,329,598,83,7069
13185000005,15154,11865,7273,616,3473,200,320,24,4592
13185000006,7091,5176,867,342,3960,40,15,10,4309
13185000007,7212,5203,3566,429,1057,94,72,7,1637
13275000115,1949,1502,1202,28,221,35,6,0,300
1305900007C,5106,4400,3316,219,311,68,475,3,1084
13173000001,9877,7326,5010,370,1683,149,91,29,2316
13263000008,1408,1172,536,11,620,9,0,0,636
13133000008,7728,6772,6034,175,358,66,94,4,738
13263000002,885,748,360,5,363,9,5,1,388
13133000004,2910,2221,946,123,1099,34,24,11,1275
13133000001,6440,4920,2007,455,2340,56,57,10,2913
13133000005,1343,1064,514,54,489,10,1,1,550
13133000006,494,381,174,19,184,4,3,1,207
1315300MCMS,13494,9711,5562,527,2391,163,1101,22,4149
1305900002A,7226,5428,1369,1518,2461,83,35,13,4059
1305900001A,5044,3813,1742,766,1219,97,35,2,2071
1305900005C,2648,2157,1743,110,179,36,83,7,414
1305900005D,5454,3972,1109,1240,1509,61,62,20,2863
1315300ANNX,6683,5270,3385,600,1037,109,170,6,1885
