GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
13151000060,16503,9154,7026,323
13151000057,10747,5684,4849,214
13151000053,17925,5808,11930,187
13151000038,20435,7111,12996,328
13151000034,20461,5254,14879,328
13275000107,5835,4361,1404,70
13151000025,22989,8135,14413,441
13119000007,8950,8014,794,142
13137000002,21063,16671,3930,462
13137000004,2616,2051,497,68
13137000005,3272,2403,787,82
13137000001,35768,29533,5465,770
132250000F2,8722,2951,5683,88
13151000046,15473,1857,13419,197
13151000041,12332,5252,6870,210
13151000056,14426,5299,8878,249
13119000006,7369,5870,1373,126
13123000001,11129,8778,2167,184
13123000006,3730,2858,811,61
1311100SUGC,9092,7401,1548,143
132250000F3,9890,1440,8344,106
13279000513,21157,14818,6051,288
13279015361,12001,8861,2993,147
13279000514,13128,8511,4451,166
13109000011,22133,15248,6623,262
13031000011,21144,10164,10576,404
13031000014,19883,9662,9774,447
13031000013,22624,14201,7924,499
13031000004,12113,9277,2615,221
1305900001D,12556,4706,7563,287
13175000015,3523,3268,216,39
13175000016,8162,6123,1933,106
132250000F1,9443,3790,5526,127
13303000097,23989,10812,12953,224
1300100005B,4316,3620,655,41
1300100004D,6214,5545,618,51
130010003A1,3354,3194,132,28
132250000B2,18808,11905,6577,326
1314100002A,3380,715,2639,26
13175000003,16507,10803,5455,249
13175000021,10496,5670,4680,146
1314100004A,3571,675,2882,14
13175000005,15144,11318,3652,174
13175000014,1526,842,673,11
13175000007,3900,2125,1744,31
1312100010E,3313,142,3137,34
131210ML072,5608,3798,1706,104
1312100SS06,6998,3639,3221,138
1312100012F,2762,122,2595,45
1312100001C,3946,198,3667,81
130990000CS,4365,3275,1034,56
1309900000U,2949,2365,548,36
1324300718B,1335,70,1256,9
130990000CU,4722,3085,1594,43
13115000055,11741,8888,2548,305
13115000140,10022,5598,4199,225
13115000076,13316,7771,5256,289
13115000001,12324,9140,2928,256
13101001058,7348,6352,887,109
1306500000D,1126,828,290,8
13115000050,7366,5048,2153,165
13115000020,5757,4375,1258,124
13115000135,9698,7527,1958,213
13115000110,4282,1038,3135,109
13039000014,13117,9562,3297,258
13039000002,6177,4399,1701,77
13115000065,12704,9584,2847,273
13115000025,4506,3681,735,90
13115000090,13749,7182,6242,325
131210AP01D,3497,1482,1906,109
131210AP01A,20686,10664,9663,359
1312100007M,7881,2737,4926,218
1312100007F,13730,5893,7561,276
131210EP04A,17014,632,16211,171
131210CP012,5062,1004,3952,106
131210CP01B,1430,447,948,35
