GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
1201100Q090,2176,1744,913,620,104,15,75,6,831
1201100U009,1579,1160,482,449,140,14,81,0,678
1201100U008,999,808,427,207,81,8,95,2,381
1201100C023,9551,8200,4167,2120,1415,72,310,15,4033
1201100D005,4783,3756,1096,1299,1299,47,63,3,2660
1201100D002,3514,2927,1121,1193,525,82,63,7,1806
12009000516,11757,8773,4730,1657,2031,209,262,16,4043
12009000520,8078,6304,3597,1159,1235,153,201,20,2707
12009000517,8844,6942,4035,1225,1346,155,228,13,2907
12009000510,11497,9329,5896,1434,1452,214,355,11,3433
12009000313,12120,9389,5611,1342,2099,204,238,35,3778
12009000105,8277,6626,5150,456,727,179,122,12,1476
12009000100,3005,2492,2089,124,138,83,48,10,403
12009000427,5413,4371,3430,414,183,84,229,8,941
12009000410,1188,989,770,81,55,17,47,6,219
12009000422,7419,6148,4718,605,359,126,334,14,1430
12009000135,3071,2632,2295,121,87,78,37,12,337
12009000512,3950,3227,2672,239,95,107,109,2,555
12009000525,3516,2381,1504,355,181,27,263,2,877
12009000124,5480,4386,3605,348,201,110,103,21,781
12009000125,5269,4218,3405,286,262,102,130,15,813
12009000113,4573,3648,2854,307,222,105,116,17,794
12009000506,3010,2481,2219,126,28,31,56,4,262
1201100M024,3218,2547,684,965,785,18,132,2,1863
12075000004,1592,1398,1298,32,16,37,9,1,100
12075000ZZZ,0,0,0,0,0,0,0,0,0
12075000006,631,508,470,10,10,14,1,1,38
12075000002,4199,3416,2729,355,206,103,24,5,687
12075000003,5561,4278,3098,588,412,155,41,16,1180
12075000008,4630,3786,3149,399,84,94,41,4,637
12075000007,4404,3371,1903,366,996,52,66,4,1468
12045000003,2307,1836,1408,70,309,35,7,2,428
12045000010,842,744,676,18,17,19,8,0,68
12119000130,6021,5987,5674,118,56,50,50,1,313
12119000111,7939,7913,7538,129,70,50,73,2,375
12119000113,1653,1305,770,76,418,26,11,1,535
12119000115,4846,3958,2425,294,1104,76,57,9,1533
12119000112,7771,6092,4812,536,316,102,282,10,1280
12119000129,7561,7324,6813,195,152,67,66,9,511
12057000707,3205,2482,1652,589,135,98,23,10,830
12057000709,5451,4032,2074,1791,79,103,62,6,1958
12057000951,2532,1971,1310,325,216,64,70,4,661
12057000956,4925,3581,1835,919,579,98,187,18,1746
12057000557,3668,3017,1463,1007,450,67,92,6,1554
12057000245,3625,2887,1196,1250,377,50,118,6,1691
12057000555,1545,1268,826,285,97,22,59,3,442
12057000569,3819,3169,1875,855,265,51,152,1,1294
12057000247,1559,1155,293,513,333,32,21,8,862
12057000565,876,711,241,286,179,23,14,3,470
12057000014,13928,12206,5906,3179,2012,260,996,24,6300
12057000319,2942,2455,1100,567,723,76,36,3,1355
12057000318,2127,1756,885,419,413,33,47,11,871
12057000998,18,18,18,0,0,0,0,0,0
12057000116A,2463,2125,1471,340,204,41,100,0,654
12031000140,2479,1809,349,70,1362,11,10,8,1460
12031000021,4370,3383,1825,621,649,113,204,15,1558
12086000348,1056,922,29,890,15,4,4,1,893
12086000368,6064,5086,167,4850,79,21,63,4,4919
12086000360,7911,6463,136,6248,122,33,69,8,6327
12086000257,4006,2762,16,715,2126,18,7,2,2746
12086002581,764,511,7,221,301,1,0,1,504
12086000178,1934,1478,19,579,929,5,1,0,1459
12086000241,4524,3620,64,1863,1828,55,12,5,3556
12086000546,1906,1514,783,597,45,20,51,1,731
12086000582,5679,4683,2346,2007,80,32,116,6,2337
12086000641,3428,2616,1193,1271,65,20,48,1,1423
12009000527,3957,2939,1670,435,668,96,101,8,1269
12009000529,2212,1875,1556,124,105,41,41,6,319
12009000108,8462,6520,3641,506,2129,137,163,18,2879
12009000109,7725,6295,4735,492,784,146,131,14,1560
12009000428,6610,5467,4136,574,428,82,253,12,1331
12009000412,1425,1179,917,79,66,33,61,2,262
12009000322,8025,6323,3428,1207,1417,161,163,20,2895
12095000434,147,92,36,31,16,3,2,0,56
12009000118,9300,7798,6290,430,673,227,115,21,1508
12045000006,1999,1615,1461,65,24,60,10,2,154
12045000005,2089,1737,861,80,742,49,18,2,876
12045000001,0,0,0,0,0,0,0,0,0
12045000002,3796,3122,2504,128,382,94,13,6,618
12045000009,355,297,280,5,6,10,0,2,17
12037000001,2732,2121,1919,81,29,63,6,2,202
12029000009,790,599,524,15,30,19,10,2,75
12055000023,1605,1240,906,182,126,11,7,2,334
1205500020N,374,324,262,41,12,3,6,0,62
12055000013,5374,4397,3194,766,302,73,66,6,1203
12055000010,2564,2169,1536,357,171,40,64,6,633
1205500025D,1612,1556,1436,58,28,21,13,0,120
12055000005,6853,5825,4190,1124,326,84,109,9,1635
12055000022,848,736,591,78,51,9,4,1,145
12055000025,4557,3665,2477,710,360,65,92,10,1188
12055000017,8785,7479,6201,834,262,112,65,10,1278
1205500013L,1791,1323,553,624,113,37,23,2,770
12055000004,1156,1049,835,167,28,8,6,0,214
12055000002,5287,4034,1599,909,1499,66,27,13,2435
1205500004A,166,162,139,18,6,2,1,0,23
