GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
51117000901,1256,1092,161,3
51117000601,3200,2083,1087,30
51117000803,3216,1837,1347,32
51053000201,4185,1655,2488,42
51053000102,4593,3343,1210,40
51147000601,7256,3155,3998,103
51163000203,1869,847,982,40
51147000302,2813,1078,1688,47
51163000503,2752,1583,1130,39
51147000501,3936,2391,1501,44
51117000802,4093,2812,1254,27
51163000501,2179,1720,434,25
51163000301,3890,2192,1652,46
51005005701,3892,1901,1910,81
51079000401,14092,8165,5519,408
51079000101,5597,3835,1661,101
51079000301,11621,7403,3978,240
51700000302,7956,1540,6301,115
51700000108,11125,2515,8419,191
51700000311,9996,2243,7620,133
51700000106,15894,4178,11403,313
51700000314,5466,1975,3356,135
51163000202,6834,4141,2569,124
51163000504,4426,2792,1552,82
51163000502,3799,1959,1745,95
51163000101,5008,2687,2217,104
51163000302,3882,2570,1244,68
51125000101,10333,4732,5353,248
51125000401,7447,4408,2909,130
51053000303,6782,3061,3659,62
51161000105,11821,6909,4645,267
51161000304,12620,7260,5140,220
51810000024,8981,4022,4772,187
51810000082,9676,5304,4164,208
51810000046,10294,3300,6836,158
51810000086,11102,5620,5291,191
51810000001,14672,8671,5777,224
51810000042,12336,5289,6739,308
51163000401,4175,2822,1296,57
51117000701,3932,2218,1672,42
51117000302,3910,2194,1695,21
51117000103,4721,2234,2453,34
51117000501,7982,4191,3695,96
51005005201,2277,1641,612,24
51009000303,3127,2145,939,43
51107000615,12632,4568,7747,317
51107000819,10060,3904,5954,202
51810000037,9696,4345,5047,304
51810000090,7783,4252,3311,220
51810000018,12559,6645,5598,316
51810000041,14731,3193,11278,260
51550000018,7502,2328,4990,184
51161000104,6245,3230,2906,109
51009000101,6077,2551,3478,48
51009000201,10451,6129,4117,205
51005005101,3789,2873,882,34
51107000416,16125,8299,7471,355
51107000403,14648,7045,7349,254
51107000808,14858,5415,9012,431
51107000122,12240,4469,7508,263
51083000401,4548,2241,2248,59
51083000502,6730,4090,2534,106
51107000121,8337,2941,5174,222
51107000210,14280,4508,9417,355
51107000209,11006,3891,6830,285
51107000401,17565,9354,7808,403
51107000421,2050,1130,874,46
51065000301,13701,6532,6985,184
51077000203,6362,4808,1467,87
51083000701,5938,4241,1665,32
51085000704,11756,7089,4419,248
51085000602,12213,8007,3974,232
51085000406,3110,1838,1200,72
51085000703,11967,7691,4056,220
51199000502,16893,8294,8181,418
51199000103,18414,6473,11566,375
51077000202,2595,2016,537,42
51125000501,3477,1595,1809,73
51185000502,12536,9656,2734,146
51167000403,2863,2058,780,25
51107000207,7943,3203,4550,190
51107000307,7595,2750,4742,103
51107000503,6272,2612,3487,173
51107000114,8605,2925,5506,174
51107000629,3587,1251,2291,45
51107000117,6101,1492,4488,121
51107000411,11345,6340,4763,242
51167000501,8795,6426,2228,141
51185000214,2979,2467,491,21
51167000301,1491,1148,332,11
51167000402,6694,5661,978,55
51077000108,1259,882,361,16
51077000101,1766,1246,495,25
51077000104,1123,737,362,24
51107000625,5465,2255,3102,108
51107000316,13090,4156,8675,259
51107000701,11528,3625,7648,255
51107000702,10920,3330,7378,212
51095000403,16868,9581,7008,279
51095000202,14453,4981,9112,360
51095000204,14464,7753,6426,285
51810000052,14095,6689,7075,331
51810000030,9725,5660,3851,214
51810000070,12513,5894,6246,373
51810000005,11764,4264,7199,301
51810000027,12143,6508,5337,298
51810000044,11657,5720,5654,283
51810000065,13893,6292,7265,336
51810000038,12863,7529,5065,269
51810000015,8860,4108,4458,294
51810000059,8225,3679,4349,197
51810000019,7170,4007,3012,151
51141000501,1967,1487,447,33
51141000503,4151,3249,854,48
51590000016,8660,4988,3574,98
51590000004,10521,4714,5687,120
51083000302,2127,670,1427,30
51083000203,4990,2506,2458,26
51141000301,5324,3837,1432,55
51141000502,3383,2571,762,50
51141000202,4600,3527,1015,58
51141000302,3450,2907,498,45
51141000401,3835,2717,1077,41
51053000502,10458,3208,7136,114
51125000502,7731,3348,4209,174
51125000402,900,484,406,10
51035000303,1884,1515,342,27
51035000301,8570,6582,1886,102
51011000102,5907,4170,1661,76
51011000202,6864,5471,1323,70
51011000401,6744,4643,1952,149
51011000501,5941,4038,1845,58
51057000301,7472,4660,2738,74
51057000401,8547,4774,3682,91
51035000102,4251,3491,714,46
51011000101,3422,2721,645,56
51810000083,12814,7156,5312,346
51810000021,11107,2277,8599,231
51810000016,15075,6993,7671,411
51810000063,14268,7680,6233,355
51035000402,6159,4668,1399,92
51035000201,7463,5503,1872,88
51035000202,3178,2416,719,43
51185000401,16026,12680,3130,216
51185000301,9675,8090,1485,100
51185000402,1553,1271,277,5
51141000402,4093,3107,917,69
51185000204,2769,2396,351,22
51185000209,11223,8563,2550,110
51185000501,6418,5460,883,75
51107000622,14127,4300,9589,238
51107000707,9082,2336,6560,186
51107000308,7232,2978,4137,117
51057000201,7032,2381,4601,50
51107000402,13643,7135,6188,320
51107000311,13658,7376,5978,304
51107000305,6653,3463,3064,126
51590000003,5535,1489,3941,105
51197000203,9993,6486,3322,185
51197000402,6493,5079,1328,86
51197000303,10763,6857,3730,176
51199000401,14272,8979,4944,349
51199000303,14655,6662,7695,298
51199000102,13368,6875,6183,310
51685000002,9470,3082,6194,194
51167000102,3777,2929,817,31
51167000202,1746,1254,473,19
51590000013,7797,2616,5072,109
51125000301,6567,3373,3078,116
51035000502,5886,4783,1051,52
51035000105,3468,2657,763,48
51197000102,10086,7806,2164,116
51199000302,11624,6803,4561,260
51107000319,13444,4970,8250,224
51071000302,9040,6387,2523,130
51820000001,8905,4227,4486,192
51125000202,3450,1653,1724,73
51199000301,18863,13347,5148,368
51043000201,7766,3657,3904,205
51590000011,8040,2335,5615,90
51035000302,3496,2791,663,42
51167000302,2176,1672,474,30
51185000104,2972,2463,484,25
51590000010,6168,2487,3601,80
51590000017,6950,4774,2096,80
51043000101,8795,5656,2977,162
51043000401,9453,5130,4144,179
51810000093,11558,1483,9897,178
51161000106,8997,5873,2960,164
51161000302,13484,8737,4501,246
51161000507,11894,6524,5129,241
51810000014,13387,6681,6394,312
51810000076,10102,2787,7048,267
51810000025,16468,7819,8289,360
51810000099,6660,2678,3842,140
51810000081,12111,4625,7228,258
51810000034,4969,3573,1335,61
51810000050,8353,2386,5757,210
51043000301,6437,3636,2670,131
51043000501,6253,3610,2542,101
51155000202,1331,887,423,21
51820000002,13569,6987,6233,349
51083000702,4464,3565,849,50
51141000201,1768,1394,348,26
51161000405,6843,4569,2159,115
51165000201,6755,5151,1477,127
51165000104,2412,1904,481,27
51165000204,7185,5262,1775,148
51165000406,8558,4879,3479,200
51085000303,9982,6414,3375,193
51085000601,16254,10485,5426,343
51085000603,9382,4858,4294,230
51165000502,11381,9127,2131,123
51185000103,4393,3674,684,35
51049000501,4885,2481,2340,64
51057000101,6452,2909,3449,94
51107000218,9677,2732,6714,231
51107000309,5490,2468,2928,94
51107000219,10679,3509,6830,340
51107000312,12239,3861,8177,201
51107000504,12058,4459,7229,370
51107000502,12858,3541,8986,331
51177000302,13586,6136,7128,322
51177000103,13928,7811,5860,257
51177000602,19034,8349,10295,390
51177000301,13709,6832,6570,307
51177000303,16684,9493,6896,295
51165000503,9383,6546,2617,220
51101000201,3743,2469,1203,71
51101000101,10095,6192,3667,236
51177000402,15664,6552,8793,319
51820000004,16081,8865,6846,370
51083000101,4714,2703,1976,35
51085000301,9868,6486,3214,168
51107000314,10947,3487,7328,132
51107000118,11417,3482,7741,194
51107000125,11032,2931,7956,145
51107000616,12570,4497,7771,302
51107000509,14761,4311,10198,252
51107000508,13747,5151,8257,339
51049000401,5072,3159,1854,59
51107000820,10636,3838,6593,205
51197000602,5348,4205,1076,67
51690000005,8700,5120,3383,197
51195000401,6527,5276,1177,74
51195000102,3534,2619,888,27
51740000024,5240,1635,3490,115
51770000019,9222,1168,7913,141
51770000017,12662,4413,7890,359
51770000007,7862,3752,3887,223
51770000013,10595,5976,4367,252
51199000403,7626,4465,3016,145
51510000109,11225,2916,7974,335
51510000105,8748,1918,6614,216
51510000103,15161,3963,10843,355
51510000112,9206,1931,7053,222
51510000108,17312,2698,14131,483
51510000106,20947,2831,17671,445
51510000102,9242,3134,5816,292
51510000202,13263,3618,9272,373
51113000005,6690,4139,2422,129
51770000015,10593,4337,5975,281
51173000401,5297,3597,1621,79
51173000402,2766,1837,892,37
51770000020,11389,816,10495,78
51770000014,11059,4840,5990,229
51770000012,9850,4623,4995,232
51023000403,6976,5194,1695,87
51195000302,9481,7562,1807,112
51195000301,8211,5900,2211,100
51740000014,6159,186,5921,52
51740000017,7523,2094,5296,133
51740000016,6737,1654,4931,152
51740000005,5036,146,4859,31
51740000026,7315,163,7107,45
51775000005,8752,4858,3717,177
51195000203,2219,1833,357,29
51199000402,14790,9431,5039,320
51065000101,16832,8035,8471,326
51119000102,4228,2489,1672,67
51775000006,5180,2920,2163,97
51195000104,9067,7258,1742,67
51195000101,5173,3701,1422,50
51740000001,7631,2016,5412,203
51107000318,11742,6080,5388,274
51173000502,3988,2502,1407,79
51770000008,7324,479,6759,86
51023000102,11216,8291,2721,204
51165000501,8240,5689,2394,157
51165000101,10668,7254,3190,224
51165000404,7090,4725,2234,131
51165000403,1421,835,557,29
51195000402,9047,7632,1362,53
51195000103,3399,2609,768,22
51047000703,5881,3807,1973,101
51047000401,8239,5406,2708,125
51630000401,8568,1761,6637,170
51109007021,5889,3724,2071,94
51109007022,6,3,3,0
51109007023,13,8,5,0
51085000701,10556,7173,3190,193
51085000105,8242,2871,5187,184
51085000201,13094,9570,3263,261
51770000003,10429,5155,5067,207
51173000601,5258,3845,1336,77
51177000401,16553,7807,8441,305
51117000604,2117,1461,642,14
51041000208,11726,2972,8616,138
51041000108,16422,9466,6649,307
51041000405,11893,5817,5820,256
51041000516,7495,1735,5646,114
51041000301,14114,2409,11581,124
51041000501,11753,4625,6810,318
51041000513,7463,1786,5539,138
51041000502,8122,3600,4349,173
51119000201,7949,5620,2231,98
51740000019,4298,1697,2514,87
51740000031,10567,3566,6841,160
51510000204,12814,3152,9292,370
51510000305,18672,2272,16117,283
51510000306,18718,2217,16275,226
51510000304,13503,1890,11350,263
51510000307,14979,2485,12307,187
51510000308,15515,3993,11194,328
51740000039,11638,2890,8574,174
51740000022,6736,2575,4007,154
51775000009,8211,5354,2695,162
51775000004,6320,3900,2266,154
51775000002,4837,2609,2121,107
51195000202,11048,8051,2862,135
51085000506,7810,5246,2385,179
51085000404,13933,11040,2729,164
51047000702,10926,7188,3570,168
51683000001,12681,3836,8549,296
51083000603,6519,3535,2932,52
51155000102,10838,6197,4450,191
51155000304,5964,4408,1478,78
51195000201,4541,3611,897,33
51740000025,7149,2833,4175,141
51071000202,2124,1618,471,35
51165000203,5053,3099,1845,109
51165000103,6042,5054,916,72
51510000209,17693,3008,14394,291
51510000206,11350,2421,8644,285
51071000103,8786,6414,2238,134
51041000204,9048,4008,4854,186
51083000103,4677,2408,2227,42
51173000101,9068,6797,2186,85
51770000009,9813,2185,7360,268
51770000010,12231,3576,8272,383
51770000011,13254,4694,8236,324
51177000201,11832,6457,5115,260
51071000101,723,556,159,8
51155000501,12414,7977,4173,264
51155000302,2590,1896,668,26
51087000110,14556,3860,10435,261
51087000101,16153,7291,8514,348
51087000117,9281,3465,5603,213
51087000203,11334,3063,8027,244
51087000407,8929,4440,4266,223
51101000301,9803,7151,2491,161
51510000208,16920,2982,13543,395
51510000210,7919,1737,6003,179
51510000205,15200,3489,11247,464
51083000305,5320,1852,3418,50
51115000001,6948,4657,2176,115
51115000002,10455,6812,3501,142
51115000003,11822,7710,3936,176
51041000515,12482,2259,10082,141
51041000207,5279,1206,4025,48
51083000102,2461,1496,952,13
51173000301,8074,6240,1726,108
51173000501,6356,5002,1270,84
51740000036,14200,6022,7904,274
51165000405,8703,7180,1404,119
51165000304,7753,5338,2288,127
51165000108,3320,2514,734,72
51023000302,9469,6675,2634,160
51770000006,9269,3899,5144,226
51041000504,19354,10574,8342,438
51041000212,7800,3833,3846,121
51037000101,4411,2625,1727,59
51037000702,3580,2028,1509,43
51037000201,5039,2981,2025,33
51690000001,3152,143,2982,27
51041000503,12932,6797,5886,249
51041000105,11438,3900,7382,156
51195000403,3861,2724,1102,35
51740000007,5133,1003,4021,109
51740000030,6627,4051,2441,135
51165000505,8378,4904,3294,180
51165000504,4905,3916,916,73
51023000101,10531,6788,3565,178
51023000501,6376,4601,1695,80
51173000602,3165,2307,815,43
51770000001,9084,1693,7272,119
51173000202,2750,1918,810,22
51173000201,6303,5034,1202,67
51023000301,10103,7138,2822,143
51173000701,6364,5324,969,71
51087000103,16505,8227,7966,312
51087000513,12815,1139,11593,83
51087000201,8396,396,7943,57
51087000220,14268,756,13382,130
51087000515,9440,5496,3785,159
51177000102,11442,7608,3669,165
51117000301,6113,4503,1565,45
51520000002,8843,5663,2983,197
51003000302,13934,4870,8849,215
51139000301,12668,9711,2821,136
51047000201,12465,5028,7206,231
51630000301,13503,5142,7982,379
51630000101,17241,6193,10669,379
51630000402,6430,1649,4646,135
51041000209,16122,7713,8087,322
51710000201,12338,3580,8382,376
51139000501,12562,9633,2779,150
51620000601,3671,1580,2039,52
51041000509,10645,3882,6545,218
51041000507,19121,11147,7509,465
51041000410,8728,3928,4606,194
51041000110,9978,5277,4545,156
51041000101,9857,4377,5340,140
51109000601,6493,4765,1623,105
51790000201,14806,7188,7264,354
51091000010,548,450,96,2
51069000503,13414,8012,5206,196
51069000403,11152,6577,4284,291
51790000501,11581,3811,7471,299
51179000302,15913,6402,9212,299
51179000602,14616,7257,7016,343
51179000601,12076,6986,4796,294
51179000603,16171,10392,5467,312
51179000703,17638,8396,8840,402
51033000401,9708,3622,5956,130
51033000601,7297,3600,3521,176
51033000602,5215,2766,2338,111
51710000303,10218,409,9721,88
51710000103,8357,3603,4521,233
51710000104,5593,656,4832,105
51710000101,12489,3381,8805,303
51710000406,6594,2396,4086,112
51710000409,7310,2745,4397,168
51710000212,7720,448,7162,110
51091000008,1782,1341,416,25
51069000401,10460,6197,4053,210
51041000408,16251,5726,10168,357
51131000401,6106,3128,2915,63
51131000101,8116,4101,3900,115
51131000201,6456,1886,4467,103
51041000505,14172,6291,7503,378
51520000001,7155,4774,2277,104
51169000102,4617,3631,936,50
51775000008,2998,1645,1283,70
51730000401,9036,1447,7496,93
51730000101,7852,820,6974,58
51041000412,13699,6508,6906,285
51041000517,8355,4565,3647,143
51041000318,5365,3164,2135,66
51041000305,5977,4418,1483,76
51131000501,6885,3508,3269,108
51660000104,12216,4482,7395,339
51520000003,5343,3069,2192,82
51133000401,9741,6383,3219,139
51133000501,9594,6406,3093,95
51133000201,7714,4849,2778,87
51131000301,5829,1803,3973,53
51119000401,5591,3038,2465,88
51003000504,9195,2622,6363,210
51133000101,6628,3921,2636,71
51041000104,15421,9097,6038,286
51041000201,10437,5396,4864,177
51730000601,8128,279,7815,34
51760000306,5793,308,5371,114
51760000503,10861,915,9741,205
51760000410,9165,2407,6560,198
51760000508,5995,902,4930,163
51033000301,3436,1831,1549,56
51087000517,4590,2441,2075,74
51087000306,11284,4750,6313,221
51087000518,9424,5373,3912,139
51087000409,12200,5575,6306,319
51087000505,10707,4775,5786,146
51087000304,7634,3743,3726,165
51087000208,9398,341,8991,66
51087000417,14967,8319,6227,421
51760000707,13056,1578,11165,313
51760000802,6297,236,5990,71
51033000102,5729,3421,2248,60
51145000202,10988,8058,2730,200
51730000201,12424,1023,11255,146
51730000301,12422,2399,9860,163
51145000201,8414,6423,1813,178
51145000502,5034,2938,2007,89
51003000301,17645,5297,12016,332
51003000506,14269,5781,8108,380
51003000502,7888,3417,4316,155
51003000501,7467,2764,4595,108
51037000602,4903,3379,1481,43
51157000301,4886,2303,2526,57
51157000401,4394,2437,1893,64
51017000501,2479,1661,771,47
51017000101,1988,1304,660,24
51145000101,10154,7299,2620,235
51600000005,9966,3061,6685,220
51670000601,6003,956,4959,88
51670000401,9090,4210,4743,137
51153000304,2945,1181,1713,51
51153000201,10267,3202,6868,197
51153000708,11125,2039,8933,153
51153000712,10132,3578,6382,172
51153000511,12401,4170,7986,245
51193000401,9528,6349,3049,130
51193000501,9602,5265,4168,169
51013000019,13716,2427,10933,356
51013000052,11273,1750,9239,284
51013000009,15087,2460,12272,355
51153000710,9868,1663,8048,157
51069000103,11198,7158,3819,221
51790000301,12063,5631,6100,332
51069000303,12452,8279,3938,235
51069000204,8723,6042,2518,163
51069000602,10098,5223,4613,262
51760000414,9079,3374,5484,221
51760000501,10884,1359,9243,282
51760000708,12038,1618,10008,412
51087000405,12996,6837,5791,368
51087000506,9910,2137,7652,121
51087000413,14264,6886,7013,365
