GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
51117000901,377,305,278,0,24,1,0,0,27
51117000601,1407,1165,800,33,320,20,7,0,365
51117000201,1012,819,428,13,372,5,9,1,391
51117000803,1283,1052,627,15,395,8,6,0,425
51117000702,1339,1426,739,32,645,13,3,2,687
51053000201,2055,1482,738,176,538,29,20,3,744
51053000202,4049,3181,2148,110,811,56,45,3,1033
51053000502,4398,3281,1395,113,1691,67,30,0,1886
51053000102,1812,1458,1138,27,243,42,3,0,320
51053000402,1822,1406,944,27,392,38,11,0,462
51053000403,1010,819,437,14,353,18,4,1,382
51147000601,2608,2040,998,37,979,33,16,4,1042
51147000501,1339,1053,715,16,303,15,6,1,338
51163000203,987,929,795,29,60,17,23,2,134
51147000302,976,722,319,12,370,13,4,4,403
51147000301,1838,1451,828,23,562,26,14,3,623
51163000503,748,611,591,4,7,10,0,0,20
51117000802,1622,1376,993,28,345,8,3,0,383
51163000501,928,719,679,9,6,11,4,0,40
51163000301,1648,1259,1053,29,137,32,11,1,206
51009000303,957,766,653,3,87,12,0,0,113
51005005701,2088,1649,1338,28,236,32,7,2,311
51005005601,2233,1843,1636,22,153,18,7,2,207
51079000401,5392,4156,3262,258,335,84,215,5,894
51079000201,5609,4324,3247,334,474,83,145,6,1077
51113000003,1244,936,788,31,92,17,9,0,148
51137000101,3244,2660,2191,119,282,54,21,3,469
51003000603,4050,3189,2892,70,104,53,59,1,297
51079000101,1896,1466,1363,32,23,36,15,0,103
51079000301,4791,3754,3216,110,312,50,38,8,538
51113000006,1354,1094,996,9,63,16,10,1,98
51700000302,4924,3775,1028,465,2184,117,79,24,2747
51700000108,10176,7406,3034,1051,2906,191,416,72,4372
51700000106,8776,6452,2076,987,3029,192,363,34,4376
51700000311,4351,3488,1128,108,2167,79,52,8,2360
51700000102,8073,5644,1289,573,3504,143,258,32,4355
51700000314,2424,1964,921,81,880,44,55,6,1043
51163000202,2679,2252,2094,33,36,39,49,2,158
51163000201,1404,1152,1066,13,17,34,11,0,86
51163000504,1339,1110,1036,8,21,34,4,1,74
51163000502,1518,1152,990,28,67,31,32,4,162
51163000101,1660,1353,1285,21,9,19,16,1,68
51163000104,782,658,623,6,5,12,5,0,35
51163000302,1695,1325,1216,19,30,49,4,0,109
51023000301,3383,2641,2489,16,57,46,10,1,152
51125000101,2865,2397,2059,81,174,60,13,4,338
51125000401,2674,2161,1657,135,326,40,18,2,504
51053000303,2711,2157,1261,36,824,34,9,0,896
51161000105,4340,3480,2803,92,407,56,114,4,677
51770000001,5204,3867,1177,344,2202,70,104,4,2690
51161000304,4257,3351,2797,100,105,43,290,3,554
51810000024,3262,2625,1611,165,642,48,191,15,1014
51810000082,3608,2618,1751,167,359,68,297,11,867
51810000086,4251,3649,2392,156,504,37,566,6,1257
51810000093,6743,5026,1320,589,2798,95,353,12,3706
51810000001,4919,4200,3760,131,110,51,115,10,440
51810000042,4669,3606,1892,292,880,69,511,22,1714
51810000052,5935,4524,2499,254,872,94,814,14,2025
51163000401,1442,1176,1071,21,29,35,4,0,105
51163000402,2324,1929,1779,24,37,57,16,7,150
51117000701,1801,1385,816,25,532,13,2,0,569
51117000203,968,754,171,14,563,8,0,2,583
51117000302,1621,1246,735,107,380,21,9,0,511
51117000501,3852,2933,1728,42,1044,42,82,1,1205
51117000401,3296,2546,921,64,1509,44,14,1,1625
51117000103,2001,1583,779,29,739,21,10,0,804
51117000903,2576,2162,1788,34,289,28,28,0,374
51005005201,894,686,644,9,17,13,5,1,42
51107000615,4166,2897,1940,203,221,39,502,7,957
51107000625,1789,1263,876,71,39,11,255,1,387
51107000819,3481,2423,1340,231,180,29,650,1,1083
51810000037,7404,5448,3524,662,889,151,310,42,1924
51810000011,5116,4179,3625,215,182,78,92,14,554
51810000017,3263,2714,2367,103,84,52,104,11,347
51810000059,4381,3571,1985,343,879,83,303,13,1586
51710000512,2661,2229,1300,189,488,59,200,19,929
51810000041,6251,4783,1623,318,2541,90,308,17,3160
51161000104,2137,1663,1203,53,283,29,87,5,460
51770000003,5209,4148,2517,594,581,87,369,15,1631
51009000101,1767,1777,995,43,695,58,9,0,782
51031000601,3458,2716,2077,64,470,85,16,1,639
51009000201,4460,3653,2693,130,698,94,45,1,960
51005005101,1627,1317,1273,6,11,19,3,1,44
51107000416,4755,3544,2895,203,127,71,207,3,649
51107000409,4116,3181,2535,188,111,62,253,2,646
51107000403,5525,3862,2788,423,267,104,302,7,1074
51107000402,3980,3034,2577,165,91,50,151,8,457
51107000808,5323,3667,2454,296,277,50,598,10,1213
51107000122,5574,3786,1442,281,317,37,1734,11,2344
51107000124,4778,3330,1174,292,338,45,1480,12,2156
51107000120,5750,3874,1384,259,315,52,1887,7,2490
51107000112,4119,2720,1035,174,236,23,1256,7,1685
51107000119,4510,3187,1295,291,468,48,1120,4,1892
51083000401,1894,1657,912,35,658,32,20,1,745
51083000502,3127,2404,1623,74,629,24,57,3,781
51083000701,2095,1672,1313,43,294,20,5,3,359
51107000121,2970,2090,1032,224,178,28,638,3,1058
