GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
42035000100,1005,827,787,5,5,12,13,3,40
42099000250,2597,1924,1867,17,12,16,13,2,57
42099000260,1017,694,677,4,4,7,0,0,17
42099000040,5238,4204,3977,52,30,82,32,7,227
42099000150,2652,2112,1916,63,56,51,22,6,196
42099000020,1219,968,924,9,10,13,8,1,44
42003005041,631,464,122,11,331,10,1,0,342
42003000430,400,295,279,0,5,1,2,0,16
42003000411,1297,970,869,22,55,8,9,1,101
42003002571,902,708,655,15,7,12,16,1,53
42007000985,1545,1218,1139,13,27,11,8,0,79
42007000435,1753,1517,1387,15,84,10,14,4,130
42007000975,1597,1301,1196,24,35,24,8,0,105
42007001460,751,610,438,13,145,12,1,2,172
42007001490,940,806,621,15,125,32,5,0,185
42007001040,2248,1875,1751,19,7,55,11,1,124
42007000065,1406,1250,1013,43,145,13,24,1,237
42099000065,1478,1151,1049,23,25,31,18,2,102
42099000240,2263,1882,1800,21,11,24,10,0,82
42099000120,221,166,147,2,4,8,1,0,19
42099000050,2529,2048,1928,32,39,25,6,1,120
42099000270,2295,1808,1745,15,7,21,17,3,63
42099000191,1485,1097,1033,15,27,14,6,2,64
42007000780,2547,2014,1949,9,9,24,2,0,65
42007000510,856,694,640,11,25,13,0,0,54
42007000550,1204,984,903,11,37,6,17,0,81
42007001240,1551,1195,1014,29,95,37,12,6,181
42007000015,1440,1016,167,38,800,19,2,0,849
42007000095,681,566,231,19,300,9,3,2,335
42007000026,386,313,8,8,296,15,0,1,305
42007000036,508,364,162,12,178,15,5,3,202
42007000995,2512,2025,1741,59,103,24,70,1,284
42007000960,1349,1075,976,18,33,23,15,0,99
42007000500,1123,979,866,19,47,16,26,2,113
42007001210,769,603,520,11,51,16,4,0,83
42007000075,1166,986,783,42,130,19,7,1,203
42099000290,396,292,274,8,2,7,0,0,18
42099000330,3203,2577,2460,38,21,40,13,1,117
42099000320,1231,978,924,10,2,19,8,1,54
42099000080,1030,816,790,5,0,11,6,0,26
42099000100,590,381,352,17,3,5,5,1,29
42007001480,964,742,601,14,105,20,3,0,141
42007001560,1316,1066,864,51,123,24,5,1,202
42007000055,2277,1710,879,75,717,27,14,3,831
42007001185,1557,1159,1061,19,49,19,5,2,98
42007001380,639,511,464,18,19,7,5,0,47
42007001055,1838,1486,1352,28,42,38,9,1,134
42007000440,1599,1270,1228,11,10,13,8,3,42
42007001320,610,479,430,11,10,14,3,3,49
42007001175,1252,1032,951,14,29,21,6,0,81
42007001290,1398,1102,1049,12,16,14,6,0,53
42007000405,1852,1559,1478,6,20,24,10,1,81
