GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
42055000690,3768,2277,1342,149
42055000620,6109,4127,1834,148
42055000170,3079,2489,506,84
42061000340,1767,1205,492,70
42061000270,1873,1466,362,45
42061000500,911,601,276,34
42011001715,5375,1802,3421,152
42011000208,6707,4505,2026,176
42011000212,5820,3909,1730,181
42011000730,3521,1204,2209,108
42011001370,4059,1023,2975,61
42011001520,6608,2846,3511,251
42001000434,4711,3158,1364,189
42055000200,5978,4011,1769,198
42055000462,4014,3044,882,88
42055000452,4039,3170,778,91
42055000140,4802,2867,1812,123
42055000560,3918,2993,816,109
42055000570,6713,5201,1339,173
42055000610,9773,6799,2746,228
42055000090,6833,3934,2730,169
42055000050,14252,11154,2798,300
42065000540,6491,4395,1899,197
42065000690,295,247,33,15
42127000330,4350,2804,1406,140
42031000340,981,699,251,31
42065000315,2947,2301,540,106
42031000370,2653,2156,429,68
42131000230,8010,4858,2921,231
42131000090,984,701,260,23
42131000150,4743,3263,1327,153
42131000120,2388,1776,529,83
42131000030,4695,2861,1666,168
42127000010,3834,2727,1007,100
42127000100,6531,4140,2221,170
42127000110,3836,2391,1302,143
42127000290,11802,7573,3898,331
42127000310,5439,3603,1672,164
42079001552,7149,3292,3648,209
42079000920,3003,1317,1625,61
42079000165,3157,1969,1089,99
42079002635,3941,2018,1792,131
42079000105,5786,4076,1546,164
42079002025,5014,2455,2397,162
42079002404,4046,2813,1150,83
42079002406,3673,2634,975,64
42079002402,4160,3059,1023,78
42079000095,1113,601,481,31
42079001615,4828,2239,2422,167
42079001760,590,456,101,33
42055000315,12957,9396,3276,285
42055000546,7881,5311,2358,212
42127000260,11684,7532,3897,255
42031000010,3335,2672,577,86
42065000160,2580,1768,721,91
42079000132,6343,4265,1933,145
42079000152,5535,3999,1435,101
42079000142,4692,3143,1451,98
42079001035,3927,1821,2033,73
42101004314,1545,32,1499,14
42101000205,2595,428,2113,54
42101003201,886,18,854,14
42101001814,2924,234,2604,86
42101001024,2331,31,2287,13
42101001014,3105,72,2999,34
42101000311,2577,30,2527,20
42101004104,1811,493,1267,51
42101004511,1836,230,1574,32
42101004028,3162,339,2794,29
42101006316,2122,1080,1005,37
42101005016,3344,59,3266,19
42101003005,2904,285,2584,35
42101005210,2307,135,2135,37
42101005830,2405,1034,1322,49
42031000310,5103,3064,1910,129
42031000130,4424,3274,1031,119
